bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b32,2.22,2,uM,2.22 uM,6 h,6,h,YAPC,BRD-K16189898,3,0.76,271,0.458904,0,"0.33,0.33,0.34",0.176056,0.176056,0.748973,0.822086,3.08,14.2693,1,1,BRD-K16189898,LPROT004_YAPC_6H:BRD-K16189898:2,trt_cp,YAPC,P19|P21|P23,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:P19|LPROT004_YAPC_6H_X1_B32:P21|LPROT004_YAPC_6H_X1_B32:P23,,LPROT,CHIR-99021,1,1,0,1,177,CHIR-99021_2.22 uM_6 h_YAPC,1,CHIR-99021_2.22 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-A69563582,3,0.58,154,0.302207,0.704225,"0.32,0.36,0.32",1.58451,0.352113,0.569273,0.755862,3.08,14.2693,1,1,BRD-A69563582,LPROT004_YAPC_6H:BRD-A69563582:10,trt_cp,YAPC,M02|M04|M06,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:M02|LPROT004_YAPC_6H_X1_B32:M04|LPROT004_YAPC_6H_X1_B32:M06,,LPROT,BRD-A69563582,1,1,0,1,177,BRD-A69563582_10 uM_6 h_YAPC,1,BRD-A69563582_10 uM_6 h
b32,8,8,uM,8 uM,6 h,6,h,YAPC,BRD-K12502280,3,0.84,474,0.638057,0,"0.33,0.34,0.33",0.176056,0.176056,0.833093,0.904193,3.08,14.2693,1,1,BRD-K12502280,LPROT004_YAPC_6H:BRD-K12502280:8,trt_cp,YAPC,L02|L04|L06,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:L02|LPROT004_YAPC_6H_X1_B32:L04|LPROT004_YAPC_6H_X1_B32:L06,,LPROT,TG-101348,1,1,0,1,177,TG-101348_8 uM_6 h_YAPC,1,TG-101348_8 uM_6 h
b32,1.11,1,uM,1.11 uM,6 h,6,h,YAPC,BRD-A19037878,3,0.88,557,0.707945,0.0880282,"0.33,0.33,0.34",0.704225,1.05634,0.871082,0.905331,3.08,14.2693,1,1,BRD-A19037878,LPROT004_YAPC_6H:BRD-A19037878:1,trt_cp,YAPC,E14|E16|E18,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:E14|LPROT004_YAPC_6H_X1_B32:E16|LPROT004_YAPC_6H_X1_B32:E18,,LPROT,BRD-A19037878,1,1,0,1,177,BRD-A19037878_1.11 uM_6 h_YAPC,1,BRD-A19037878_1.11 uM_6 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-A13021932,3,0.5528,396,0.47311,0.252294,"0.35,0.35,0.30",1.09004,1.22226,0.449888,0.720806,6.79,26.0408,1,1,BRD-A13021932,LJP007_YAPC_24H:O07,trt_cp,YAPC,O07,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:O07|LJP007_YAPC_24H_X2_B33:O07|LJP007_YAPC_24H_X3_B33:O07,,LJP,BMS-509744,1,1,0,1,177,BMS-509744_10 uM_24 h_YAPC,1,BMS-509744_10 uM_24 h
b33,3.33,3.33,uM,3.33 uM,24 h,24,h,YAPC,BRD-K02708799,3,0.5444,286,0.399,0.0688073,"0.31,0.35,0.34",0.278863,0,0.493386,0.775296,6.79,26.0408,1,1,BRD-K02708799,LJP007_YAPC_24H:K08,trt_cp,YAPC,K08,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:K08|LJP007_YAPC_24H_X2_B33:K08|LJP007_YAPC_24H_X3_B33:K08,,LJP,GSK-1059615,1,1,0,1,177,GSK-1059615_3.33 uM_24 h_YAPC,1,GSK-1059615_3.33 uM_24 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K64857848,3,0.637,526,0.58532,0,"0.30,0.36,0.34",0.404313,0,0.545678,0.70752,6.79,26.0408,1,1,BRD-K64857848,LJP007_YAPC_24H:A07,trt_cp,YAPC,A07,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:A07|LJP007_YAPC_24H_X2_B33:A07|LJP007_YAPC_24H_X3_B33:A07,,LJP,XMD-885,1,1,0,1,177,XMD-885_10 uM_24 h_YAPC,1,XMD-885_10 uM_24 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K66847579,3,0.4745,299,0.380877,0.298165,"0.38,0.22,0.40",11.3208,1.07853,0.238487,0.625497,6.79,26.0408,1,1,BRD-K66847579,LJP007_YAPC_24H:H01,trt_cp,YAPC,H01,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:H01|LJP007_YAPC_24H_X2_B33:H01|LJP007_YAPC_24H_X3_B33:H01,,LJP,WZ-7043,1,1,0,1,177,WZ-7043_10 uM_24 h_YAPC,1,WZ-7043_10 uM_24 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K21025364,3,0.6903,470,0.575968,0,"0.33,0.34,0.32",0,0,0.655149,0.770354,6.79,26.0408,1,1,BRD-K21025364,LJP007_YAPC_24H:M13,trt_cp,YAPC,M13,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:M13|LJP007_YAPC_24H_X2_B33:M13|LJP007_YAPC_24H_X3_B33:M13,,LJP,NVP-TAE226,1,1,0,1,177,NVP-TAE226_10 uM_24 h_YAPC,1,NVP-TAE226_10 uM_24 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K57169635,3,0.5407,294,0.403165,0,"0.31,0.34,0.36",0,0,0.471087,0.787992,6.79,26.0408,1,1,BRD-K57169635,LJP007_YAPC_24H:G07,trt_cp,YAPC,G07,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:G07|LJP007_YAPC_24H_X2_B33:G07|LJP007_YAPC_24H_X3_B33:G07,,LJP,dacomitinib,1,1,0,1,177,dacomitinib_10 uM_24 h_YAPC,1,dacomitinib_10 uM_24 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K49055432,3,0.5799,322,0.436953,0.0688073,"0.34,0.32,0.35",1.48248,0.539812,0.537358,0.621628,6.79,26.0408,1,1,BRD-K49055432,LJP007_YAPC_24H:B19,trt_cp,YAPC,B19,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:B19|LJP007_YAPC_24H_X2_B33:B19|LJP007_YAPC_24H_X3_B33:B19,,LJP,A-66,1,1,0,1,177,A-66_10 uM_24 h_YAPC,1,A-66_10 uM_24 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K20526256,3,0.6743,435,0.547648,0,"0.31,0.35,0.34",0.144092,0,0.591848,0.821533,6.79,26.0408,1,1,BRD-K20526256,LJP007_YAPC_24H:L13,trt_cp,YAPC,L13,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:L13|LJP007_YAPC_24H_X2_B33:L13|LJP007_YAPC_24H_X3_B33:L13,,LJP,HG-14-10-04,1,1,0,1,177,HG-14-10-04_10 uM_24 h_YAPC,1,HG-14-10-04_10 uM_24 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K81418486,3,0.6993,653,0.683312,0,"0.37,0.32,0.32",0,0,0.695665,0.8112,6.79,26.0408,1,1,BRD-K81418486,LJP007_YAPC_24H:A03,trt_cp,YAPC,A03,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:A03|LJP007_YAPC_24H_X2_B33:A03|LJP007_YAPC_24H_X3_B33:A03,,LJP,vorinostat,1,1,0,1,177,vorinostat_10 uM_24 h_YAPC,1,vorinostat_10 uM_24 h
b33,3.33,3.33,uM,3.33 uM,24 h,24,h,YAPC,BRD-K50000283,3,0.6532,369,0.49644,0,"0.32,0.35,0.33",0,0,0.608772,0.813676,6.79,26.0408,1,1,BRD-K50000283,LJP007_YAPC_24H:J02,trt_cp,YAPC,J02,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:J02|LJP007_YAPC_24H_X2_B33:J02|LJP007_YAPC_24H_X3_B33:J02,,LJP,PHA-767491,1,1,0,1,177,PHA-767491_3.33 uM_24 h_YAPC,1,PHA-767491_3.33 uM_24 h
b33,3.33,3.33,uM,3.33 uM,24 h,24,h,YAPC,BRD-K29415052,3,0.7188,408,0.547602,0.0917431,"0.33,0.33,0.34",0.134771,0.269542,0.708379,0.882619,6.79,26.0408,1,1,BRD-K29415052,LJP007_YAPC_24H:N08,trt_cp,YAPC,N08,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:N08|LJP007_YAPC_24H_X2_B33:N08|LJP007_YAPC_24H_X3_B33:N08,,LJP,BGT-226,1,1,0,1,177,BGT-226_3.33 uM_24 h_YAPC,1,BGT-226_3.33 uM_24 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K26760349,3,0.5085,261,0.36838,0,"0.33,0.34,0.33",0,0,0.507363,0.777266,6.79,26.0408,1,1,BRD-K26760349,LJP007_YAPC_24H:K13,trt_cp,YAPC,K13,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:K13|LJP007_YAPC_24H_X2_B33:K13|LJP007_YAPC_24H_X3_B33:K13,,LJP,HG-9-91-01,1,1,0,1,177,HG-9-91-01_10 uM_24 h_YAPC,1,HG-9-91-01_10 uM_24 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K12040459,3,0.5874,268,0.401204,0,"0.33,0.35,0.32",0,0,0.549481,0.77279,6.79,26.0408,1,1,BRD-K12040459,LJP007_YAPC_24H:P07,trt_cp,YAPC,P07,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:P07|LJP007_YAPC_24H_X2_B33:P07|LJP007_YAPC_24H_X3_B33:P07,,LJP,AT-7867,1,1,0,1,177,AT-7867_10 uM_24 h_YAPC,1,AT-7867_10 uM_24 h
b33,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K51575138,3,0.6487,510,0.581618,0,"0.32,0.35,0.33",0.269542,0,0.634661,0.696648,6.79,26.0408,1,1,BRD-K51575138,LJP007_YAPC_24H:A19,trt_cp,YAPC,A19,LJP007_YAPC_24H_X1_B33|LJP007_YAPC_24H_X2_B33|LJP007_YAPC_24H_X3_B33,LJP007_YAPC_24H_X1_B33:A19|LJP007_YAPC_24H_X2_B33:A19|LJP007_YAPC_24H_X3_B33:A19,,LJP,TPCA-1,1,1,0,1,177,TPCA-1_10 uM_24 h_YAPC,1,TPCA-1_10 uM_24 h
b22,3.33,3.33333,uM,3.33 uM,24 h,24,h,YAPC,BRD-K43887077,3,0.4821,323,0.399025,0.897666,"0.37,0.27,0.36",6.77397,4.45076,0.317587,0.527704,14.18,62.1303,1,1,BRD-K43887077,REP.A013_YAPC_24H:O08,trt_cp,YAPC,O08,REP.A013_YAPC_24H_X1_B22|REP.A013_YAPC_24H_X2_B22|REP.A013_YAPC_24H_X3_B22,REP.A013_YAPC_24H_X1_B22:O08|REP.A013_YAPC_24H_X2_B22:O08|REP.A013_YAPC_24H_X3_B22:O08,,REP,dopamine,1,1,0,1,177,dopamine_3.33 uM_24 h_YAPC,1,dopamine_3.33 uM_24 h
b23,1.11,1.11111,uM,1.11 uM,24 h,24,h,YAPC,BRD-A64485570,3,0.6053,343,0.460747,0,"0.35,0.34,0.31",0,0.277397,0.519006,0.719881,16.67,70.6001,1,1,BRD-A64485570,REP.A017_YAPC_24H:I03,trt_cp,YAPC,I03,REP.A017_YAPC_24H_X1_B23|REP.A017_YAPC_24H_X2_B23|REP.A017_YAPC_24H_X3_B23,REP.A017_YAPC_24H_X1_B23:I03|REP.A017_YAPC_24H_X2_B23:I03|REP.A017_YAPC_24H_X3_B23:I03,,REP,trifluridine,1,1,0,1,177,trifluridine_1.11 uM_24 h_YAPC,1,trifluridine_1.11 uM_24 h
b23,0.125,0.123457,uM,0.125 uM,24 h,24,h,YAPC,BRD-A89175223,3,0.5077,375,0.441215,0,"0.33,0.32,0.36",0.138122,0,0.492337,0.63378,10.71,45.5067,1,1,BRD-A89175223,REP.A025_YAPC_24H:F17,trt_cp,YAPC,F17,REP.A025_YAPC_24H_X1_B23|REP.A025_YAPC_24H_X2_B23|REP.A025_YAPC_24H_X3_B23,REP.A025_YAPC_24H_X1_B23:F17|REP.A025_YAPC_24H_X2_B23:F17|REP.A025_YAPC_24H_X3_B23:F17,,REP,bisoprolol,1,1,0,1,177,bisoprolol_0.125 uM_24 h_YAPC,1,bisoprolol_0.125 uM_24 h
b22,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K44309363,3,0.5283,388,0.457812,0.2693,"0.37,0.28,0.36",0.945603,0.80429,0.369444,0.747085,14.18,62.1303,1,1,BRD-K44309363,REP.A013_YAPC_24H:O19,trt_cp,YAPC,O19,REP.A013_YAPC_24H_X1_B22|REP.A013_YAPC_24H_X2_B22|REP.A013_YAPC_24H_X3_B22,REP.A013_YAPC_24H_X1_B22:O19|REP.A013_YAPC_24H_X2_B22:O19|REP.A013_YAPC_24H_X3_B22:O19,,REP,dexniguldipine,1,1,0,1,177,dexniguldipine_10 uM_24 h_YAPC,1,dexniguldipine_10 uM_24 h
b23,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-A45889380,3,0.6935,509,0.600776,0,"0.33,0.34,0.33",0,0,0.671566,0.811522,10.26,43.5257,1,1,BRD-A45889380,REP.A020_YAPC_24H:L01,trt_cp,YAPC,L01,REP.A020_YAPC_24H_X1_B23|REP.A020_YAPC_24H_X2_B23|REP.A020_YAPC_24H_X3_B23,REP.A020_YAPC_24H_X1_B23:L01|REP.A020_YAPC_24H_X2_B23:L01|REP.A020_YAPC_24H_X3_B23:L01,,REP,mepacrine,1,1,0,1,177,mepacrine_10 uM_24 h_YAPC,1,mepacrine_10 uM_24 h
b23,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K73524797,3,0.4481,250,0.338445,1.04831,"0.34,0.35,0.31",2.6738,1.48411,0.395906,0.576143,11.44,49.0382,1,1,BRD-K73524797,REP.A024_YAPC_24H:A07,trt_cp,YAPC,A07,REP.A024_YAPC_24H_X1_B23|REP.A024_YAPC_24H_X2_B23|REP.A024_YAPC_24H_X3_B23,REP.A024_YAPC_24H_X1_B23:A07|REP.A024_YAPC_24H_X2_B23:A07|REP.A024_YAPC_24H_X3_B23:A07,,REP,ST-1859,1,1,0,1,177,ST-1859_10 uM_24 h_YAPC,1,ST-1859_10 uM_24 h
b23,3.33,3.33333,uM,3.33 uM,24 h,24,h,YAPC,BRD-K56195681,3,0.3693,264,0.315735,6.7713,"0.08,0.48,0.44",25.1855,1.87884,0.0643964,0.586257,12.39,53.8903,1,1,BRD-K56195681,REP.A015_YAPC_24H:D02,trt_cp,YAPC,D02,REP.A015_YAPC_24H_X1_B23|REP.A015_YAPC_24H_X2_B23|REP.A015_YAPC_24H_X3_B23,REP.A015_YAPC_24H_X1_B23:D02|REP.A015_YAPC_24H_X2_B23:D02|REP.A015_YAPC_24H_X3_B23:D02,,REP,losmapimod,1,1,0,1,177,losmapimod_3.33 uM_24 h_YAPC,1,losmapimod_3.33 uM_24 h
b23,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K91822704,3,0.418,275,0.342835,1.13533,"0.35,0.32,0.33",1.90107,9.72278,0.395202,0.469489,10.71,45.5067,1,1,BRD-K91822704,REP.A025_YAPC_24H:G01,trt_cp,YAPC,G01,REP.A025_YAPC_24H_X1_B23|REP.A025_YAPC_24H_X2_B23|REP.A025_YAPC_24H_X3_B23,REP.A025_YAPC_24H_X1_B23:G01|REP.A025_YAPC_24H_X2_B23:G01|REP.A025_YAPC_24H_X3_B23:G01,,REP,torcitabine,1,1,0,1,177,torcitabine_10 uM_24 h_YAPC,1,torcitabine_10 uM_24 h
b22,10,10,uM,10 uM,24 h,24,h,YAPC,BRD-K42981054,3,0.4036,231,0.308754,0.201975,"0.32,0.32,0.36",0.134048,4.03123,0.395266,0.561214,14.18,62.1303,1,1,BRD-K42981054,REP.A013_YAPC_24H:N01,trt_cp,YAPC,N01,REP.A013_YAPC_24H_X1_B22|REP.A013_YAPC_24H_X2_B22|REP.A013_YAPC_24H_X3_B22,REP.A013_YAPC_24H_X1_B22:N01|REP.A013_YAPC_24H_X2_B22:N01|REP.A013_YAPC_24H_X3_B22:N01,,REP,mibampator,1,1,0,1,177,mibampator_10 uM_24 h_YAPC,1,mibampator_10 uM_24 h
b23,0.37,0.37037,uM,0.37 uM,24 h,24,h,YAPC,BRD-K61452026,3,0.3552,250,0.301326,2.62332,"0.38,0.37,0.25",10.9956,9.81649,0.212984,0.474946,12.39,53.8903,0,1,BRD-K61452026,REP.A015_YAPC_24H:O22,trt_cp,YAPC,O22,REP.A015_YAPC_24H_X1_B23|REP.A015_YAPC_24H_X2_B23|REP.A015_YAPC_24H_X3_B23,REP.A015_YAPC_24H_X1_B23:O22|REP.A015_YAPC_24H_X2_B23:O22|REP.A015_YAPC_24H_X3_B23:O22,,REP,emtricitabine,1,1,0,1,177,emtricitabine_0.37 uM_24 h_YAPC,1,emtricitabine_0.37 uM_24 h
b23,0.125,0.123457,uM,0.125 uM,24 h,24,h,YAPC,BRD-A83081521,3,0.4406,220,0.314821,0.112007,"0.36,0.33,0.31",2.00535,3.48894,0.417588,0.517093,10.26,43.5257,1,1,BRD-A83081521,REP.A020_YAPC_24H:A17,trt_cp,YAPC,A17,REP.A020_YAPC_24H_X1_B23|REP.A020_YAPC_24H_X2_B23|REP.A020_YAPC_24H_X3_B23,REP.A020_YAPC_24H_X1_B23:A17|REP.A020_YAPC_24H_X2_B23:A17|REP.A020_YAPC_24H_X3_B23:A17,,REP,finasteride,1,1,0,1,177,finasteride_0.125 uM_24 h_YAPC,1,finasteride_0.125 uM_24 h
b23,0.04,0.0411523,uM,0.04 uM,24 h,24,h,YAPC,BRD-K60240222,3,0.3515,251,0.300352,0.560538,"0.34,0.29,0.37",6.97597,13.0628,0.292685,0.484169,12.39,53.8903,0,1,BRD-K60240222,REP.A015_YAPC_24H:N24,trt_cp,YAPC,N24,REP.A015_YAPC_24H_X1_B23|REP.A015_YAPC_24H_X2_B23|REP.A015_YAPC_24H_X3_B23,REP.A015_YAPC_24H_X1_B23:N24|REP.A015_YAPC_24H_X2_B23:N24|REP.A015_YAPC_24H_X3_B23:N24,,REP,carglumic-acid,1,1,0,1,177,carglumic-acid_0.04 uM_24 h_YAPC,1,carglumic-acid_0.04 uM_24 h
