"","sig_id","conditionId","cell_iname"
"35","CPD001_PC3_24H:BRD-K13078532-001-21-9:10","hydrochlorothiazide_10 uM_24 h","PC3"
"36","ABY001_NCIH508_XH:BRD-K70511574:10:24","HMN-214_10 uM_24 h","NCIH508"
"37","AML001_PC3_6H:BRD-A73513677:1.11111","BRD-A73513677_1.11 uM_6 h","PC3"
"38","PCL001_HT29_24H:BRD-K13094524:10","PFI-1_10 uM_24 h","HT29"
"39","MOA001_U2OS_24H:I09","BRD-K15107389_10 uM_24 h","U2OS"
"40","PCL001_HEPG2_24H:BRD-A18497530:1.11","5-iodotubercidin_1.11 uM_24 h","HEPG2"
"41","HOG001_A549_6H:BRD-K03618428-001-01-3:11.1","PP-110_12 uM_6 h","A549"
"42","DOSBIO001_A375_24H:BRD-K88822846:10.1074","BRD-K88822846_10 uM_24 h","A375"
"43","DOSBIO002_A375_24H:BRD-K25379780:10.5212","BRD-K25379780_10 uM_24 h","A375"
"44","CPD001_MCF7_24H:BRD-K03319035-003-14-2:10","maprotiline_10 uM_24 h","MCF7"
"45","CVD001_PHH_6H:BRD-K94512704-001-01-3:10","spiramide_10 uM_6 h","PHH"
"46","DOSBIO001_NPC_24H:BRD-K28431278:10.0047","BRD-K28431278_10 uM_24 h","NPC"
"47","DOSBIO001_NPC_24H:BRD-K45230579:9.95213","BRD-K45230579_10 uM_24 h","NPC"
"48","DOSBIO002_A375_24H:BRD-K87125912:9.98177","BRD-K87125912_10 uM_24 h","A375"
"49","DOSBIO002_MCF7_24H:BRD-K95285735:10.6834","BRD-K95285735_10 uM_24 h","MCF7"
"50","NMH002_NPC_6H:BRD-K54729176-001-01-0:10","BRD-K54729176_10 uM_6 h","NPC"
"51","CPD001_PC3_24H:BRD-K86858124-001-01-2:10","paclitaxel_10 uM_24 h","PC3"
"52","CPD002_PC3_24H:BRD-A98175426-001-01-4:10","betaescin_10 uM_24 h","PC3"
"53","LPROT004_MCF7_6H:BRD-A36536537:5.5","BRD-A36536537_6.66 uM_6 h","MCF7"
"54","LPROT004_YAPC_6H:BRD-A67788537:10","salermide_10 uM_6 h","YAPC"
"55","DOSBIO002_MCF7_24H:BRD-K88373420:10.2049","BRD-K88373420_10 uM_24 h","MCF7"
"56","DOSBIO001_A549_24H:BRD-K77888550:9.5278","BRD-K77888550_10 uM_24 h","A549"
"57","CVD001_HEPG2_6H:BRD-K82987299-003-01-8:2.5","BRD-K82987299_2.5 uM_6 h","HEPG2"
"58","KMS002_NOMO1_24H:I04","BRD-K49010888_3.33 uM_24 h","NOMO1"
"59","CVD001_HEPG2_24H:BRD-K36111658-001-01-1:10","BRD-K36111658_10 uM_24 h","HEPG2"
"60","TSAI002_NPC-2_XH:SAHA:2.5","saha_2.5 uM_","NPC"
"61","TSAI001_221NPC1_XH:CI-994:10","CI-994_10 uM_","NPC"
"62","PCL001_HEPG2_24H:BRD-A76641868:20","BRD-A76641868_20 uM_24 h","HEPG2"
"63","DOSBIO001_NPC_24H:BRD-K69894866:9.93102","BRD-K69894866_10 uM_24 h","NPC"
"64","DOSBIO001_NPC_24H:BRD-K65526065:10.057","BRD-K65526065_10 uM_24 h","NPC"
"65","DOSBIO001_A375_24H:BRD-K70900504:10.0464","BRD-K70900504_10 uM_24 h","A375"
"66","DOSBIO002_A375_24H:BRD-K51034923:10.1306","BRD-K51034923_10 uM_24 h","A375"
"67","LCP001_MCF10A.KRAS.HG_24H:I16","nutlin-3_10 uM_24 h","MCF10A"
"68","AML001_CD34_6H:BRD-K13077924:3.33333","BRD-K13077924_3.33 uM_6 h","CD34"
"69","PCL001_HA1E_24H:BRD-K11413513:10","BRD-K11413513_10 uM_24 h","HA1E"
"70","TAA001_SHSY5Y_24H:C04","disulfiram_0.37 uM_24 h","SHSY5Y"
"71","DOSBIO001_A375_24H:BRD-K11169037:10.0519","BRD-K11169037_10 uM_24 h","A375"
"72","DOSBIO001_MCF7_24H:BRD-K96697180:9.36695","BRD-K96697180_10 uM_24 h","MCF7"
"73","DOSBIO002_NPC_24H:BRD-K58808184:9.81336","BRD-K58808184_10 uM_24 h","NPC"
"74","PCL001_HCC515_24H:BRD-K77620628:10","BRD-K77620628_10 uM_24 h","HCC515"
"75","NMH002_NPC_6H:BRD-K74148702-001-05-3:10","curcumin_10 uM_6 h","NPC"
"76","CPD002_MCF7_24H:BRD-K92923799-001-01-0:10","digitoxigenin_10 uM_24 h","MCF7"
"77","CVD001_HEPG2_6H:BRD-K19876534-001-01-0:10.0701","BRD-K19876534_10 uM_6 h","HEPG2"
"78","ABY001_SKBR3_XH:BRD-K19687926:0.625:24","lapatinib_0.66 uM_24 h","SKBR3"
"79","PRISM001_MCF7_24H:BRD-K29830875:0.312","TL-AA09_0.3 uM_24 h","MCF7"
"80","DOSBIO002_A549_24H:BRD-K19198293:9.79693","BRD-K19198293_10 uM_24 h","A549"
"81","POL001_MCF7_24H:O07","JG-98_4 uM_24 h","MCF7"
"82","CVD001_HEPG2_6H:BRD-K07339740-001-01-3:10.1832","BRD-K07339740_10 uM_6 h","HEPG2"
"83","DOSBIO002_NPC_24H:BRD-K31112909:10.1401","BRD-K31112909_10 uM_24 h","NPC"
"84","CPD002_PC3_24H:BRD-K39987650-001-18-3:10","bisacodyl_10 uM_24 h","PC3"
"85","GMB001_HT29_24H:BRD-K09208538:50","BRD-K09208538_50 uM_24 h","HT29"
"86","ENR001_MCF7_24H:P21","pen_1.11 uM_24 h","MCF7"
"87","PCL001_A375_24H:BRD-K11413513:10","BRD-K11413513_10 uM_24 h","A375"
"88","ERAM001_MCF7_24H:BRD-K96123349:4","brequinar_4 uM_24 h","MCF7"
"89","DOSBIO001_PC3_24H:BRD-K58860003:9.95458","SA-1921617_10 uM_24 h","PC3"
"90","DOSBIO002_MCF7_24H:BRD-K49477330:10.016","BRD-K49477330_10 uM_24 h","MCF7"
"91","DOSBIO002_MCF7_24H:BRD-K67236950:10.6884","BRD-K67236950_10 uM_24 h","MCF7"
"92","CVD001_HEPG2_6H:BRD-K37865504-001-01-7:10","LY-2183240_10 uM_6 h","HEPG2"
"93","DOSBIO002_NPC_24H:BRD-K91063002:9.61428","BRD-K91063002_10 uM_24 h","NPC"
"94","DOSBIO001_A375_24H:BRD-K89961851:10.2368","BRD-K89961851_10 uM_24 h","A375"
"95","LPROT004_YAPC_6H:BRD-K68548958:25","C-646_25 uM_6 h","YAPC"
"96","HOG002_MCF7_24H:BRD-K88378636-001-02-8:0.3704","withaferin-a_0.37 uM_24 h","MCF7"
"97","ERAM001_A549_24H:BRD-K96884956:20.48","BRD-K96884956_20 uM_24 h","A549"
"98","PCL001_HA1E_24H:BRD-K49893531:10","BRD-K49893531_10 uM_24 h","HA1E"
"99","KTOX002_HPTEC_6H:BRD-K71799949:316.2","carbamazepine_320 uM_6 h","HPTEC"
"100","PCL001_HEPG2_24H:BRD-K78059568:0.04","ly-ester_0.04 uM_24 h","HEPG2"
"101","DOSBIO001_A375_24H:BRD-K08317416:10.1576","BRD-K08317416_10 uM_24 h","A375"
"102","DOSBIO001_MCF7_24H:BRD-K93158953:10.049","BRD-K93158953_10 uM_24 h","MCF7"
"103","POL001_HEPG2_24H:L03","BMS-387032_1.11 uM_24 h","HEPG2"
"104","CPD002_MCF7_24H:BRD-K03222093-001-01-8:10","cyclosporin-a_10 uM_24 h","MCF7"
"105","DOSBIO002_NPC_24H:BRD-K55077180:10.2381","BRD-K55077180_10 uM_24 h","NPC"
"106","PCL001_HA1E_24H:BRD-A59468452:1.11","BRD-A59468452_1.11 uM_24 h","HA1E"
"107","AML001_CD34_6H:BRD-A19500257:10","geldanamycin_10 uM_6 h","CD34"
"108","PCL001_HEPG2_24H:BRD-K73255294:10","nutlin-3_10 uM_24 h","HEPG2"
"109","AML001_HL60_6H:BRD-K49071277:10","securinine_10 uM_6 h","HL60"
"110","DOSBIO002_NPC_24H:BRD-K81408913:9.98515","BRD-K81408913_10 uM_24 h","NPC"
"111","DOSBIO002_PC3_24H:BRD-K55149044:10","BRD-K55149044_10 uM_24 h","PC3"
"112","PCL001_HCC515_24H:BRD-A59468452:0.12","BRD-A59468452_0.12 uM_24 h","HCC515"
"113","CPD001_PC3_24H:BRD-K52256627-001-17-7:10","chlorhexidine_10 uM_24 h","PC3"
"114","NMH002_NPC_24H:BRD-K46918889-001-02-6:10","BG-1025_10 uM_24 h","NPC"
"115","CVD001_HEPG2_24H:BRD-K55149044-001-01-0:10.3068","BRD-K55149044_10 uM_24 h","HEPG2"
"116","PCL001_A375_24H:BRD-K88378636:1.11","withaferin-a_1.11 uM_24 h","A375"
"117","AML001_HL60_6H:BRD-K71879491:10","tretinoin_10 uM_6 h","HL60"
"118","TAA001_SHSY5Y_24H:O08","JMV-2959_3.33 uM_24 h","SHSY5Y"
"119","DOSBIO001_A549_24H:BRD-K78133682:10.2009","BRD-K78133682_10 uM_24 h","A549"
"120","PCL001_A375_24H:BRD-K21532219:10","UMB-32_10 uM_24 h","A375"
"121","GMB001_HL60_2H:BRD-K40175214:0.2","torin-1_0.2 uM_2 h","HL60"
"122","PCL001_A375_24H:BRD-K58479490:10","BRD-K58479490_10 uM_24 h","A375"
"123","DOSBIO002_NPC_24H:BRD-K87125912:9.98177","BRD-K87125912_10 uM_24 h","NPC"
"124","CEGS001_NPC.177_24H:E07","fluvastatin_25 uM_24 h","NPC"
"125","NMH002_NPC_6H:BRD-K08316444-001-06-8:10","rotenone_10 uM_6 h","NPC"
"126","TAA001_SHSY5Y_24H:K19","WIN-552122_10 uM_24 h","SHSY5Y"
"127","DOSBIO002_A549_24H:BRD-K98624380:10.1901","BRD-K98624380_10 uM_24 h","A549"
"128","LRS001_PHH.MGH_24H:B13","ISOX_10 uM_24 h","PHH"
"129","CPD002_MCF7_24H:BRD-K36760124-001-01-1:10","lanatoside-c_10 uM_24 h","MCF7"
"130","PRISM001_PC3_6H:CMAP-PRISM-1B-PARENT:10","CMAP-PRISM-1B-PARENT_10 uM_6 h","PC3"
"131","KTOX002_HPTEC_6H:BRD-A22068566:1000","amanitin_1000 uM_6 h","HPTEC"
"132","PCL001_HCC515_24H:BRD-K21532219:3.33","UMB-32_3.33 uM_24 h","HCC515"
"133","DOSBIO001_A549_24H:BRD-K92543914:10.1247","BRD-K92543914_10 uM_24 h","A549"
"134","DOSBIO002_A375_24H:BRD-K69705756:9.21374","BRD-K69705756_10 uM_24 h","A375"
"135","NMH002_NPC_6H:BRD-K76097666-001-03-9:10","itdac-1_10 uM_6 h","NPC"
"136","NMH001_NPC_24H:D21","BRD-K40167599_10 uM_24 h","NPC"
"137","DOSBIO001_NPC_24H:BRD-K48673964:10.0728","BRD-K48673964_10 uM_24 h","NPC"
"138","KTOX002_HPTEC_24H:BRD-K48247567:31623","diatrizoic-acid_32000 uM_24 h","HPTEC"
"139","LPROT002_A549_6H:BRD-K80738081:10","resveratrol_10 uM_6 h","A549"
"140","PCL001_MCF7_24H:BRD-K39841531:3.33","TG-101209_3.33 uM_24 h","MCF7"
"141","ERAM001_A549_24H:BRD-K90004018:20","BRD-K90004018_20 uM_24 h","A549"
"142","ERAM001_MCF7_24H:BRD-K70565046:2.64","BRD-K70565046_2.5 uM_24 h","MCF7"
"143","ERAM001_MCF7_24H:BRD-K46897165:19.98","BRD-K46897165_20 uM_24 h","MCF7"
"144","DOSBIO002_A549_24H:BRD-K25990552:10.234","BRD-K25990552_10 uM_24 h","A549"
"145","CEGS001_NPC.179_24H:L01","clozapine_25 uM_24 h","NPC"
"146","DOSBIO001_NPC_24H:BRD-K96396151:10.0106","BRD-K96396151_10 uM_24 h","NPC"
"147","DOSBIO002_PC3_24H:BRD-K29423519:9.37945","BRD-K29423519_10 uM_24 h","PC3"
"148","DOSBIO001_MCF7_24H:BRD-K14475668:10.2224","BRD-K14475668_10 uM_24 h","MCF7"
"149","POL001_JURKAT_24H:O07","JG-98_4 uM_24 h","JURKAT"
"150","ERAM001_MCF7_24H:BRD-K88605167:20.03","BRD-K88605167_20 uM_24 h","MCF7"
"151","KTOX002_HPTEC_6H:BRD-K13183738:316.2","pentamidine_320 uM_6 h","HPTEC"
"152","PCL001_HEPG2_24H:BRD-K30842649:10","BRD-K30842649_10 uM_24 h","HEPG2"
"153","DOSBIO001_NPC_24H:BRD-K75845944:10.0028","BRD-K75845944_10 uM_24 h","NPC"
"154","DOSBIO002_MCF7_24H:BRD-K41335306:9.98187","BRD-K41335306_10 uM_24 h","MCF7"
"155","DOSBIO002_NPC_24H:BRD-K16714380:10.0318","BRD-K16714380_10 uM_24 h","NPC"
"156","DOSBIO001_A375_24H:BRD-K60528884:10.0724","SA-1938740_10 uM_24 h","A375"
"157","CPD001_PC3_24H:BRD-A67709388-001-04-7:10","antimycin-a_10 uM_24 h","PC3"
"158","ERAM001_A549_24H:BRD-K88605167:20.03","BRD-K88605167_20 uM_24 h","A549"
"159","HOG002_MCF7_6H:BRD-K15108141-001-01-7:11.1","gemcitabine_12 uM_6 h","MCF7"
"160","PCL001_A549_24H:BRD-A89859721:0.37","BRD-A89859721_0.37 uM_24 h","A549"
"161","DOSBIO001_NPC_24H:BRD-K00141503:9.88644","BRD-K00141503_10 uM_24 h","NPC"
"162","DOSBIO001_A375_24H:BRD-K30229575:10.1026","BRD-K30229575_10 uM_24 h","A375"
"163","DOSBIO001_HT29_24H:BRD-K06589444:9.98921","BRD-K06589444_10 uM_24 h","HT29"
"164","DOSBIO001_MCF7_24H:BRD-K42197878:9.8377","BRD-K42197878_10 uM_24 h","MCF7"
"165","CPD002_PC3_6H:BRD-A80567352-003-01-6:10","aceclidine_10 uM_6 h","PC3"
"166","NMH002_NPC_24H:BRD-A54024781-001-02-3:10","BG-1008_10 uM_24 h","NPC"
"167","CPD003_MCF7_24H:M11","simvastatin_10 uM_24 h","MCF7"
"168","DOSBIO001_PC3_24H:BRD-K17139610:10.0402","BRD-K17139610_10 uM_24 h","PC3"
"169","DOSBIO001_A375_24H:BRD-K80058284:10.0734","BRD-K80058284_10 uM_24 h","A375"
"170","PCL001_MCF7_24H:BRD-K38292946:3.33","BRD-K38292946_3.33 uM_24 h","MCF7"
"171","DOSBIO001_MCF7_24H:BRD-K38294617:9.84551","BRD-K38294617_10 uM_24 h","MCF7"
"172","DOSBIO002_HT29_24H:BRD-K87838848:9.99211","BRD-K87838848_10 uM_24 h","HT29"
"173","NMH001_NPC_6H:BRD-K80062189-001-01-9:10","BRD-K80062189_10 uM_6 h","NPC"
"174","DOSBIO001_PC3_24H:BRD-K28934562:10.0731","BRD-K28934562_10 uM_24 h","PC3"
"175","POL001_PC3_24H:M13","oligomycin-a_10 uM_24 h","PC3"
"176","DOSBIO002_MCF7_24H:BRD-K37184875:10.0483","BRD-K37184875_10 uM_24 h","MCF7"
"177","LCP001_MCF10A.WT_6H:P03","PNU-74654_1.11 uM_6 h","MCF10A"
"178","CPD002_MCF7_24H:BRD-K41406082-001-11-3:10","sulfapyridine_10 uM_24 h","MCF7"
"179","PCL001_A549_24H:BRD-A59468452:10","BRD-A59468452_10 uM_24 h","A549"
"180","DOSBIO001_NPC_24H:BRD-K96041907:10.2154","BRD-K96041907_10 uM_24 h","NPC"
"181","HOG002_A549_24H:BRD-K28907958-001-02-7:3.7","CD-437_4 uM_24 h","A549"
"182","DOSBIO001_A375_24H:BRD-K97633445:10.166","BRD-K97633445_10 uM_24 h","A375"
"183","DOSBIO001_MCF7_24H:BRD-K30229575:10.1026","BRD-K30229575_10 uM_24 h","MCF7"
"184","POL001_HEPG2_24H:O13","arbidol_10 uM_24 h","HEPG2"
"185","POL001_JURKAT_24H:N13","CD-1530_10 uM_24 h","JURKAT"
"186","HOG001_A549_24H:BRD-K01737880-001-02-2:10","BRD-K01737880_10 uM_24 h","A549"
"187","CPD001_PC3_24H:BRD-K85767870-002-11-9:10","BRD-K85767870_10 uM_24 h","PC3"
"188","CPD001_PC3_24H:BRD-K08619574-334-04-7:10","thioproperazine_10 uM_24 h","PC3"
"189","KTOX002_HPTEC_6H:BRD-K78010432:1000","furosemide_1000 uM_6 h","HPTEC"
"190","MOA001_U2OS_24H:D12","BRD-K91041732_0.37 uM_24 h","U2OS"
"191","DOSBIO001_PC3_24H:BRD-K95047050:10.016","BRD-K95047050_10 uM_24 h","PC3"
"192","DOSBIO002_PC3_24H:BRD-K85806228:10.0786","BRD-K85806228_10 uM_24 h","PC3"
"193","PCL001_HCC515_24H:BRD-A89859721:10","BRD-A89859721_10 uM_24 h","HCC515"
"194","DOSBIO001_A549_24H:BRD-K08317416:10.1576","BRD-K08317416_10 uM_24 h","A549"
"195","POL001_HEPG2_24H:H13","WYE-125132_10 uM_24 h","HEPG2"
"196","LCP001_MCF10A.WT_6H:I06","camptothecin_1.11 uM_6 h","MCF10A"
"197","LPROT003_A375_6H:BRD-K01567962:25","pyrazolanthrone_25 uM_6 h","A375"
"198","PCL001_A549_24H:BRD-K11413513:10","BRD-K11413513_10 uM_24 h","A549"
"199","PCL001_HA1E_24H:BRD-K21532219:10","UMB-32_10 uM_24 h","HA1E"
"200","KTOX002_HPTEC_6H:BRD-A88208128:1000","tetracycline_1000 uM_6 h","HPTEC"
"201","MOA001_U2OS_24H:G18","Merck60_3.33 uM_24 h","U2OS"
"202","DOSBIO001_A375_24H:BRD-K09068728:10","BRD-K09068728_10 uM_24 h","A375"
"203","DOSBIO002_A549_24H:BRD-K77793090:9.7484","BRD-K77793090_10 uM_24 h","A549"
"204","CPD001_PC3_24H:BRD-A41304429-001-09-8:10","practolol_10 uM_24 h","PC3"
"205","PCL001_HCC515_24H:BRD-K40328231:10","BRD-K40328231_10 uM_24 h","HCC515"
"206","DOSBIO001_A375_24H:BRD-K00141503:9.88644","BRD-K00141503_10 uM_24 h","A375"
"207","POL001_HT29_24H:H16","WYE-125132_0.37 uM_24 h","HT29"
"208","NMH002_NPC_6H:BRD-K82189384-001-01-1:10","BG-1011_10 uM_6 h","NPC"
"209","CVD001_HEPG2_6H:BRD-K55082668-001-01-8:9.9402","BRD-K55082668_10 uM_6 h","HEPG2"
"210","PCL001_HT29_24H:BRD-A18497530:1.11","5-iodotubercidin_1.11 uM_24 h","HT29"
"211","ERAM001_MCF7_24H:BRD-K65290449:10","BRD-K65290449_10 uM_24 h","MCF7"
"212","KTOX002_HPTEC_6H:BRD-U68106254:100","potassium-dichromate_100 uM_6 h","HPTEC"
"213","KTOX002_HPTEC_6H:BRD-A79768653:10","sirolimus_10 uM_6 h","HPTEC"
"214","PCL001_HEPG2_24H:BRD-K40328231:10","BRD-K40328231_10 uM_24 h","HEPG2"
"215","DOSBIO001_PC3_24H:BRD-K17890048:9.6625","BRD-K17890048_10 uM_24 h","PC3"
"216","DOSBIO001_NPC_24H:BRD-K99718824:10.0261","BRD-K99718824_10 uM_24 h","NPC"
"217","DOSBIO001_PC3_24H:BRD-K04380254:9.968","BRD-K04380254_10 uM_24 h","PC3"
"218","DOSBIO002_MCF7_24H:BRD-K74316684:9.93637","BRD-K74316684_10 uM_24 h","MCF7"
"219","MOA001_A549_24H:E21","BRD-K78727929_10 uM_24 h","A549"
"220","PCL001_A549_24H:BRD-K43471985:10","OTX-015_10 uM_24 h","A549"
"221","PCL001_MCF7_24H:BRD-K24821794:10","SGC-CBP30_10 uM_24 h","MCF7"
"222","DOSBIO001_MCF7_24H:BRD-K40138205:10.024","BRD-K40138205_10 uM_24 h","MCF7"
"223","CPD001_PC3_24H:BRD-K56558538-003-07-7:10","ambroxol_10 uM_24 h","PC3"
"224","NMH002_NPC_24H:BRD-K37312348-001-12-7:10","kenpaullone_10 uM_24 h","NPC"
"225","DOSBIO002_A549_24H:BRD-K97972722:10.2327","BRD-K97972722_10 uM_24 h","A549"
"226","CPD002_PC3_24H:BRD-K72723676-003-12-9:10","benzethonium_10 uM_24 h","PC3"
"227","CVD001_HEPG2_6H:BRD-K47977047-001-01-2:9.9355","BRD-K47977047_10 uM_6 h","HEPG2"
"228","CVD001_HEPG2_24H:BRD-K52785744-001-01-7:10.1671","BRD-K52785744_10 uM_24 h","HEPG2"
"229","KHW001_HA1E_6H:BRD-K02764265-001-05-2:10","BRD-K02764265_10 uM_6 h","HA1E"
"230","PCL001_HT29_24H:BRD-K11413513:1.11","BRD-K11413513_1.11 uM_24 h","HT29"
"231","ERAM001_A549_24H:BRD-K70565046:2.64","BRD-K70565046_2.5 uM_24 h","A549"
"232","ERAM001_A549_24H:BRD-K24238120:19.63","BRD-K24238120_20 uM_24 h","A549"
"233","DOSBIO001_NPC_24H:BRD-K68319707:10.0384","BRD-K68319707_10 uM_24 h","NPC"
"234","DOSBIO002_NPC_24H:BRD-K41335306:9.98187","BRD-K41335306_10 uM_24 h","NPC"
"235","DOSBIO001_HT29_24H:BRD-K62242359:10.5421","BRD-K62242359_10 uM_24 h","HT29"
"236","DOSBIO001_A375_24H:BRD-K41880142:10.016","BRD-K41880142_10 uM_24 h","A375"
"237","DOSBIO001_A375_24H:BRD-K28934562:10.0731","BRD-K28934562_10 uM_24 h","A375"
"238","DOSBIO002_A549_24H:BRD-K61753121:10.0904","BRD-K61753121_10 uM_24 h","A549"
"239","POL001_JURKAT_24H:I21","LDN-193189_1.11 uM_24 h","JURKAT"
"240","CVD001_HEPG2_24H:BRD-K86336638-001-01-8:9.804","BRD-K86336638_10 uM_24 h","HEPG2"
"241","KTOX002_HPTEC_6H:BRD-A91712064:1","BRD-A91712064_1.11 uM_6 h","HPTEC"
"242","PCL001_HEPG2_24H:BRD-K38292946:10","BRD-K38292946_10 uM_24 h","HEPG2"
"243","DOSBIO001_NPC_24H:BRD-K51595563:10.2765","BRD-K51595563_10 uM_24 h","NPC"
"244","POL001_PC3_24H:A19","BRD-K83354763_10 uM_24 h","PC3"
"245","LRS001_PHH.MGH_24H:D24","alisertib_1.11 uM_24 h","PHH"
"246","CPD001_PC3_24H:BRD-K50859149-001-13-8:10","sulfafurazole_10 uM_24 h","PC3"
"247","CPD001_PC3_24H:BRD-K52431530-001-07-3:10","josamycin_10 uM_24 h","PC3"
"248","CPD003_MCF7_24H:H22","methiazole_10 uM_24 h","MCF7"
"249","DOSBIO001_NPC_24H:BRD-K42197878:9.8377","BRD-K42197878_10 uM_24 h","NPC"
"250","DOSBIO002_NPC_24H:BRD-K43540029:10.0137","BRD-K43540029_10 uM_24 h","NPC"
"251","DOSBIO001_A375_24H:BRD-K24798550:9.9537","BRD-K24798550_10 uM_24 h","A375"
"252","LCP001_MCF10A.WT_3H:D09","doxorubicin_1.11 uM_3 h","MCF10A"
"253","CPD001_PC3_24H:BRD-K46503544-001-02-3:10","etoposide_10 uM_24 h","PC3"
"254","NMH001_NPC_6H:BRD-K19042873-001-01-8:10","BRD-K19042873_10 uM_6 h","NPC"
"255","CPD001_MCF7_24H:BRD-A17828570-001-01-0:10","fulvestrant_10 uM_24 h","MCF7"
"256","LPROT004_YAPC_6H:BRD-K52560704:10","methylstat_10 uM_6 h","YAPC"
"257","HDAC002_MCF7_24H:BRD2492_+_BRD3308:10","BRD2492 + BRD3308_10 uM_24 h","MCF7"
"258","MOA001_A549_24H:G15","harmine_10 uM_24 h","A549"
"259","PCL001_HA1E_24H:BRD-K40328231:10","BRD-K40328231_10 uM_24 h","HA1E"
"260","PCL001_HT29_24H:BRD-K45962729:10","BRD-K45962729_10 uM_24 h","HT29"
"261","POL001_HT29_24H:G24","BRD-K76674262_0.04 uM_24 h","HT29"
"262","NMH002_NPC_6H:BRD-K81473043-001-07-0:10","tanespimycin_10 uM_6 h","NPC"
"263","NMH002_FIBRNPC_24H:BRD-K60623809-001-04-6:10","SU-11652_10 uM_24 h","NPC"
"264","DOSBIO002_PC3_24H:BRD-K48296029:10.2333","BRD-K48296029_10 uM_24 h","PC3"
"265","DOSBIO001_MCF7_24H:BRD-K71742078:10.2688","BRD-K71742078_10 uM_24 h","MCF7"
"266","CVD001_HEPG2_6H:BRD-K81164606-001-01-7:2.4586","BRD-K81164606_2.5 uM_6 h","HEPG2"
"267","PCL001_HT29_24H:BRD-K97274161:10","K-788-2192_10 uM_24 h","HT29"
"268","DOSBIO001_NPC_24H:BRD-K93158953:10.049","BRD-K93158953_10 uM_24 h","NPC"
