"","sig_id","cell_iname","conditionId"
"37","DOSBIO001_A375_24H:BRD-K41880142:10.016","A375","BRD-K41880142_10 uM_24 h"
"38","DOSBIO001_A375_24H:BRD-K28934562:10.0731","A375","BRD-K28934562_10 uM_24 h"
"39","DOSBIO001_A375_24H:BRD-K24798550:9.9537","A375","BRD-K24798550_10 uM_24 h"
"40","PCL001_HT29_24H:BRD-K45962729:10","HT29","BRD-K45962729_10 uM_24 h"
"41","POL001_HT29_24H:G24","HT29","BRD-K76674262_0.04 uM_24 h"
"42","PCL001_HT29_24H:BRD-K97274161:10","HT29","K-788-2192_10 uM_24 h"
"43","POL001_HT29_24H:D01","HT29","rotenone_12 uM_24 h"
"44","PCL001_A375_24H:BRD-A59468452:0.12","A375","BRD-A59468452_0.12 uM_24 h"
"45","DOSBIO002_A375_24H:BRD-K06816133:10.0289","A375","BRD-K06816133_10 uM_24 h"
"46","DOSBIO002_HT29_24H:BRD-K20109053:10.0611","HT29","BRD-K20109053_10 uM_24 h"
"47","DOSBIO001_A375_24H:BRD-K73008154:9.91582","A375","BRD-K73008154_10 uM_24 h"
"48","DOSBIO001_A375_24H:BRD-K73118655:10.0318","A375","BRD-K73118655_10 uM_24 h"
"49","DOSBIO001_HT29_24H:BRD-K26484692:10.1375","HT29","BRD-K26484692_10 uM_24 h"
"50","LPROT002_A375_6H:BRD-A13254067:1","A375","okadaic-acid_1.11 uM_6 h"
"51","PCL001_HT29_24H:BRD-K50511260:1.11","HT29","BRD-K50511260_1.11 uM_24 h"
"52","DOSBIO001_A375_24H:BRD-K23319301:10.08","A375","BRD-K23319301_10 uM_24 h"
"53","GMB001_HT29_24H:BRD-A20106178:50","HT29","BRD-A20106178_50 uM_24 h"
"54","DOSBIO001_A375_24H:BRD-K41700431:9.9859","A375","BRD-K41700431_10 uM_24 h"
"55","DOSBIO001_A375_24H:BRD-K72620090:10.1179","A375","BRD-K72620090_10 uM_24 h"
"56","DOSBIO001_A375_24H:BRD-K06589444:9.98921","A375","BRD-K06589444_10 uM_24 h"
"57","DOSBIO001_A375_24H:BRD-K62242359:10.5421","A375","BRD-K62242359_10 uM_24 h"
"58","DOSBIO001_A375_24H:BRD-K09231502:10.0202","A375","BRD-K09231502_10 uM_24 h"
"59","DOSBIO001_HT29_24H:BRD-K81418486:1.11111","HT29","vorinostat_1.11 uM_24 h"
"60","DOSBIO001_A375_24H:BRD-K71195237:10.1383","A375","BRD-K71195237_10 uM_24 h"
"61","DOSBIO002_A375_24H:BRD-K67236950:10.6884","A375","BRD-K67236950_10 uM_24 h"
"62","DOSBIO001_A375_24H:BRD-K74381836:10.0448","A375","SA-1921456_10 uM_24 h"
"63","DOSBIO002_A375_24H:BRD-K84797952:10.0587","A375","BRD-K84797952_10 uM_24 h"
"64","DOSBIO002_HT29_24H:BRD-K73276569:10.2325","HT29","BRD-K73276569_10 uM_24 h"
"65","LPROT003_A375_6H:BRD-A11170096:0.75","A375","pravastatin_0.74 uM_6 h"
"66","DOSBIO001_HT29_24H:BRD-K39597586:9.9142","HT29","BRD-K39597586_10 uM_24 h"
"67","DOSBIO001_A375_24H:BRD-K07244661:9.9754","A375","BRD-K07244661_10 uM_24 h"
"68","DOSBIO001_A375_24H:BRD-K24656059:10.0565","A375","BRD-K24656059_10 uM_24 h"
"69","DOSBIO001_HT29_24H:BRD-K96041907:10.2154","HT29","BRD-K96041907_10 uM_24 h"
"70","DOSBIO001_A375_24H:BRD-K23985857:10","A375","BRD-K23985857_10 uM_24 h"
"71","DOSBIO002_HT29_24H:BRD-K15524596:10.0448","HT29","BRD-K15524596_10 uM_24 h"
"72","PCL001_HT29_24H:BRD-A76641868:20","HT29","BRD-A76641868_20 uM_24 h"
"73","LPROT002_A375_6H:BRD-K92960067:10","A375","SMER-3_10 uM_6 h"
"74","PCL001_A375_24H:BRD-K71855865:10","A375","BRD-K71855865_10 uM_24 h"
"75","DOSBIO001_A375_24H:BRD-K03006541:10.6002","A375","BRD-K03006541_10 uM_24 h"
"76","POL001_HT29_24H:O13","HT29","arbidol_10 uM_24 h"
"77","DOSBIO001_A375_24H:BRD-K86671899:10.0019","A375","BRD-K86671899_10 uM_24 h"
"78","DOSBIO001_HT29_24H:BRD-K11169037:10.0519","HT29","BRD-K11169037_10 uM_24 h"
"79","PCL001_A375_24H:BRD-K50817946:10","A375","BRD-K50817946_10 uM_24 h"
"80","DOSBIO001_A375_24H:BRD-K59253994:9.55469","A375","BRD-K59253994_10 uM_24 h"
"81","DOSBIO001_A375_24H:BRD-K37650321:10.0011","A375","BRD-K37650321_10 uM_24 h"
"82","DOSBIO001_A375_24H:BRD-K92232855:10.1419","A375","BRD-K92232855_10 uM_24 h"
"83","DOSBIO002_HT29_24H:BRD-K79532217:10.3153","HT29","BRD-K79532217_10 uM_24 h"
"84","PCL001_HT29_24H:BRD-K73255294:3.33","HT29","nutlin-3_3.33 uM_24 h"
"85","DOSBIO001_A375_24H:BRD-K79102010:9.95382","A375","BRD-K79102010_10 uM_24 h"
"86","DOSBIO002_A375_24H:BRD-K15524596:10.0448","A375","BRD-K15524596_10 uM_24 h"
"87","PCL001_HT29_24H:BRD-K77620628:10","HT29","BRD-K77620628_10 uM_24 h"
"88","PCL001_HT29_24H:BRD-K09132007:20","HT29","D-4476_20 uM_24 h"
"89","PCL001_A375_24H:BRD-K59023263:3.33","A375","BRD-K59023263_3.33 uM_24 h"
"90","DOSBIO001_A375_24H:BRD-K04380254:9.968","A375","BRD-K04380254_10 uM_24 h"
"91","DOSBIO002_HT29_24H:BRD-K74461819:9.98767","HT29","BRD-K74461819_10 uM_24 h"
"92","DOSBIO001_HT29_24H:BRD-K95208083:10.0207","HT29","SA-1457472_10 uM_24 h"
"93","PCL001_HT29_24H:BRD-A59468452:10","HT29","BRD-A59468452_10 uM_24 h"
"94","PCL001_A375_24H:BRD-K40328231:10","A375","BRD-K40328231_10 uM_24 h"
"95","DOSBIO001_A375_24H:BRD-K16769902:10.0669","A375","BRD-K16769902_10 uM_24 h"
"96","DOSBIO001_HT29_24H:BRD-K71195237:10.1383","HT29","BRD-K71195237_10 uM_24 h"
"97","PCL001_A375_24H:BRD-K43471985:10","A375","OTX-015_10 uM_24 h"
"98","PCL001_A375_24H:BRD-A89859721:1.11","A375","BRD-A89859721_1.11 uM_24 h"
"99","DOSBIO001_A375_24H:BRD-K48222931:10.2274","A375","BRD-K48222931_10 uM_24 h"
"100","DOSBIO001_HT29_24H:BRD-K88822846:10.1074","HT29","BRD-K88822846_10 uM_24 h"
"101","PCL001_HT29_24H:BRD-K24821794:10","HT29","SGC-CBP30_10 uM_24 h"
"102","PCL001_A375_24H:BRD-K50511260:0.04","A375","BRD-K50511260_0.04 uM_24 h"
"103","PCL001_HT29_24H:BRD-K30842649:10","HT29","BRD-K30842649_10 uM_24 h"
"104","PCL001_HT29_24H:BRD-K84633118:10","HT29","BRD-K84633118_10 uM_24 h"
"105","PCL001_HT29_24H:BRD-K40328231:10","HT29","BRD-K40328231_10 uM_24 h"
"106","PCL001_HT29_24H:BRD-K59023263:3.33","HT29","BRD-K59023263_3.33 uM_24 h"
"107","DOSBIO001_HT29_24H:BRD-K32389477:10.1556","HT29","BRD-K32389477_10 uM_24 h"
"108","DOSBIO001_HT29_24H:BRD-K49111930:10.2588","HT29","BRD-K49111930_10 uM_24 h"
"109","DOSBIO002_A375_24H:BRD-K29423519:9.37945","A375","BRD-K29423519_10 uM_24 h"
"110","PCL001_HT29_24H:BRD-K63425657:0.12","HT29","NP-010914_0.12 uM_24 h"
"111","DOSBIO001_A375_24H:BRD-K39504007:9.66346","A375","BRD-K39504007_10 uM_24 h"
"112","DOSBIO001_HT29_24H:BRD-K92543914:10.1247","HT29","BRD-K92543914_10 uM_24 h"
"113","POL001_HT29_24H:O07","HT29","JG-98_4 uM_24 h"
"114","PCL001_HT29_24H:BRD-K21532219:10","HT29","UMB-32_10 uM_24 h"
"115","PCL001_HT29_24H:BRD-K43471985:10","HT29","OTX-015_10 uM_24 h"
"116","DOSBIO001_HT29_24H:BRD-K58860003:9.95458","HT29","SA-1921617_10 uM_24 h"
"117","DOSBIO001_A375_24H:BRD-K63923428:10.5408","A375","BRD-K63923428_10 uM_24 h"
"118","DOSBIO001_A375_24H:BRD-K18300217:10.0476","A375","BRD-K18300217_10 uM_24 h"
"119","DOSBIO001_A375_24H:BRD-K99718824:10.0261","A375","BRD-K99718824_10 uM_24 h"
"120","DOSBIO001_A375_24H:BRD-K77888550:9.5278","A375","BRD-K77888550_10 uM_24 h"
"121","DOSBIO001_HT29_24H:BRD-K58292285:9.838","HT29","SA-1921085_10 uM_24 h"
"122","DOSBIO002_HT29_24H:BRD-K80169513:9.9532","HT29","BRD-K80169513_10 uM_24 h"
"123","PCL001_A375_24H:BRD-K84633118:10","A375","BRD-K84633118_10 uM_24 h"
"124","DOSBIO002_HT29_24H:BRD-K67236950:10.6884","HT29","BRD-K67236950_10 uM_24 h"
"125","DOSBIO001_A375_24H:BRD-K17139610:10.0402","A375","BRD-K17139610_10 uM_24 h"
"126","PCL001_A375_24H:BRD-K73255294:10","A375","nutlin-3_10 uM_24 h"
"127","DOSBIO002_HT29_24H:BRD-K85806228:10.0786","HT29","BRD-K85806228_10 uM_24 h"
"128","POL001_HT29_24H:M13","HT29","oligomycin-a_10 uM_24 h"
"129","DOSBIO002_HT29_24H:BRD-K37184875:10.0483","HT29","BRD-K37184875_10 uM_24 h"
"130","POL001_HT29_24H:D14","HT29","brefeldin-a_4 uM_24 h"
"131","PCL001_HT29_24H:BRD-K71855865:10","HT29","BRD-K71855865_10 uM_24 h"
"132","DOSBIO001_A375_24H:BRD-K19011062:10.0222","A375","BRD-K19011062_10 uM_24 h"
"133","DOSBIO001_HT29_24H:BRD-K18300217:10.0476","HT29","BRD-K18300217_10 uM_24 h"
"134","DOSBIO001_HT29_24H:BRD-K96396151:10.0106","HT29","BRD-K96396151_10 uM_24 h"
"135","DOSBIO002_A375_24H:BRD-K22563530:10.0026","A375","SA-1456751_10 uM_24 h"
"136","PCL001_A375_24H:BRD-K17588104:1.11","A375","JQ-1-R_1.11 uM_24 h"
"137","PCL001_HT29_24H:BRD-K25167492:10","HT29","BRD-K25167492_10 uM_24 h"
"138","PCL001_HT29_24H:BRD-K36363294:10","HT29","I-BET-151_10 uM_24 h"
"139","DOSBIO001_HT29_24H:BRD-K09231502:10.0202","HT29","BRD-K09231502_10 uM_24 h"
"140","DOSBIO001_A375_24H:BRD-K03257659:10.0189","A375","BRD-K03257659_10 uM_24 h"
"141","DOSBIO001_A375_24H:BRD-K15935695:10.0006","A375","BRD-K15935695_10 uM_24 h"
"142","DOSBIO001_A375_24H:BRD-M32778103:9.97963","A375","BRD-M32778103_10 uM_24 h"
"143","PCL001_HT29_24H:BRD-K38292946:1.11","HT29","BRD-K38292946_1.11 uM_24 h"
"144","DOSBIO001_HT29_24H:BRD-K36313546:10.6244","HT29","BRD-K36313546_10 uM_24 h"
"145","PCL001_A375_24H:BRD-K45962729:10","A375","BRD-K45962729_10 uM_24 h"
"146","DOSBIO002_A375_24H:BRD-K55155550:10.089","A375","BRD-K55155550_10 uM_24 h"
"147","DOSBIO001_A375_24H:BRD-K42197878:9.8377","A375","BRD-K42197878_10 uM_24 h"
"148","DOSBIO001_A375_24H:BRD-K79758054:9.94011","A375","BRD-K79758054_10 uM_24 h"
"149","PCL001_HT29_24H:BRD-K91583156:3.33","HT29","BRD-K91583156_3.33 uM_24 h"
"150","PCL001_HT29_24H:BRD-K92428232:3.33","HT29","GSK-461364_3.33 uM_24 h"
"151","BRAF001_A375_6H:BRD-A96407378-001-12-8:10","A375","allantoin_10 uM_6 h"
"152","DOSBIO001_HT29_24H:BRD-K74318028:10.53","HT29","BRD-K74318028_10 uM_24 h"
"153","CPC004_A375_6H:BRD-A84174393-236-03-0:10","A375","meloxicam_10 uM_6 h"
"154","CPC015_HT29_6H:BRD-A15415227-003-01-1:10","HT29","GW-1929_10 uM_6 h"
"155","CPC005_HT29_24H:BRD-K50841342-001-01-6:10","HT29","PAC-1_10 uM_24 h"
"156","CPC009_A375_6H:BRD-K18726304-019-01-8:10","A375","BRD-K18726304_10 uM_6 h"
"157","CPC019_HT29_6H:BRD-K00627859-001-01-5:10","HT29","tubastatin-a_10 uM_6 h"
"158","CPC020_A375_6H:BRD-A93393712-001-01-1:10","A375","CVF-SUMO-14_10 uM_6 h"
"159","CPC012_HT29_6H:BRD-K89626439-001-01-0:10","HT29","sirolimus_10 uM_6 h"
"160","CPC018_A375_6H:BRD-A62890442-001-01-0:10","A375","3-methyl-GABA_10 uM_6 h"
"161","CPC006_A375_24H:BRD-U88459701-000-01-8:10","A375","atorvastatin_10 uM_24 h"
"162","CPC005_HT29_24H:BRD-K56429665-001-03-9:10","HT29","calcipotriol_10 uM_24 h"
"163","CPC016_A375_6H:BRD-K22010301-001-01-2:10","A375","JLK-6_10 uM_6 h"
"164","CPC008_HT29_6H:BRD-K55703048-001-04-4:10","HT29","latrepirdine_10 uM_6 h"
"165","CPC018_HT29_6H:BRD-K92778217-001-17-8:10","HT29","mefenamic-acid_10 uM_6 h"
"166","CPC006_A375_24H:BRD-K02526760-001-01-5:10","A375","QS-11_10 uM_24 h"
"167","CPC011_A375_6H:BRD-K21806131-050-02-5:10","A375","tegaserod_10 uM_6 h"
"168","CPC005_A375_24H:BRD-K13725475-001-02-4:10","A375","rhodomyrtoxin_10 uM_24 h"
"169","CPC005_A375_24H:BRD-A47513740-001-02-5:10","A375","calyculin_10 uM_24 h"
"170","CPC006_HT29_24H:BRD-K64642496-001-01-6:40","HT29","KO-143_40 uM_24 h"
"171","CPC010_HT29_6H:BRD-K28916077-001-04-0:10","HT29","BRD-K28916077_10 uM_6 h"
"172","CPC008_HT29_6H:BRD-K92158425-001-01-5:10","HT29","BRD-K92158425_10 uM_6 h"
"173","CPC019_A375_6H:BRD-A47832959-001-06-6:10","A375","BRD-A47832959_10 uM_6 h"
"174","CPC006_HT29_24H:BRD-K01868942-001-02-1:160","HT29","RS-23597-190_150 uM_24 h"
"175","CPC006_HT29_24H:BRD-K86574132-001-04-9:48","HT29","BRD-K86574132_50 uM_24 h"
"176","CPC012_A375_6H:H14","A375","VU-0418933-1_10 uM_6 h"
"177","CPC013_HT29_6H:H04","HT29","cytochalasin-d_10 uM_6 h"
"178","CPC006_A375_6H:O20","A375","BIBR-1532_80 uM_6 h"
"179","CPC006_A375_24H:BRD-K06593056-001-02-2:20","A375","LE-135_20 uM_24 h"
"180","CPC007_HT29_24H:BRD-K83213280-001-07-0:10","HT29","BRD-K83213280_10 uM_24 h"
"181","CPC019_A375_6H:BRD-K31706415-001-01-7:10","A375","BRD-K31706415_10 uM_6 h"
"182","CPC018_HT29_6H:BRD-K63606607-001-01-8:10","HT29","bufalin_10 uM_6 h"
"183","CPC006_HT29_6H:N07","HT29","emetine_0.66 uM_6 h"
"184","CPC012_A375_6H:I08","A375","BRD-K56196992_10 uM_6 h"
"185","CPC018_HT29_6H:BRD-K12244279-001-02-5:10","HT29","BRD-K12244279_10 uM_6 h"
"186","CPC006_A375_6H:H16","A375","ZM-336372_100 uM_6 h"
"187","CPC006_A375_6H:L09","A375","kinetin-riboside_10 uM_6 h"
"188","CPC013_A375_6H:BRD-K30545681-001-01-7:10","A375","ST-4070169_10 uM_6 h"
"189","CPC019_HT29_6H:BRD-K90700939-001-01-5:10","HT29","BRD-K90700939_10 uM_6 h"
"190","CPC018_A375_6H:BRD-K88329126-001-01-0:10","A375","BRD-K88329126_10 uM_6 h"
"191","CPC007_A375_24H:BRD-A99911370-001-04-1:10","A375","BRD-A99911370_10 uM_24 h"
"192","CPC006_HT29_24H:BRD-K16406336-311-01-2:10","HT29","methylene-blue_10 uM_24 h"
"193","CPC006_HT29_24H:BRD-K60219430-001-01-6:10","HT29","serdemetan_10 uM_24 h"
"194","CPC006_A375_6H:G09","A375","TG-101348_12 uM_6 h"
"195","CPC018_A375_6H:BRD-K77830450-001-02-4:10","A375","forskolin_10 uM_6 h"
"196","CPC008_A375_6H:I17","A375","BRD-K90446130_10 uM_6 h"
"197","CPC009_HT29_6H:BRD-K28366633-001-05-2:10","HT29","BRD-K28366633_10 uM_6 h"
"198","CPC007_HT29_6H:BRD-K03067624-003-19-3:10","HT29","emetine_10 uM_6 h"
"199","CPC007_HT29_6H:BRD-A76490030-001-09-4:10","HT29","K784-3131_10 uM_6 h"
"200","CPC009_A375_6H:BRD-K66909449-001-01-5:10","A375","BRD-K66909449_10 uM_6 h"
"201","CPC017_HT29_6H:BRD-A28318179-003-03-6:10","HT29","aminomethyltransferase_10 uM_6 h"
"202","CPC018_HT29_6H:BRD-K82983861-001-01-9:10","HT29","GW-0742_10 uM_6 h"
"203","CPC020_A375_6H:BRD-K66788707-001-07-7:10","A375","fludarabine_10 uM_6 h"
"204","CPC018_A375_6H:BRD-K96799727-001-01-7:10","A375","pifithrin-mu_10 uM_6 h"
"205","CPC005_A375_6H:BRD-K50841342-001-01-6:10","A375","PAC-1_10 uM_6 h"
"206","CPC008_A375_6H:D19","A375","BRD-K99530743_10 uM_6 h"
"207","CPC009_HT29_6H:BRD-K25320246-001-03-6:10","HT29","KU-C104248_10 uM_6 h"
"208","CPC007_A375_24H:BRD-K27630941-001-05-9:10","A375","BRD-K27630941_10 uM_24 h"
"209","CPC020_A375_6H:BRD-K83153774-001-07-1:10","A375","mirtazapine_10 uM_6 h"
"210","CPC010_HT29_6H:BRD-U86222656-000-01-7:10","HT29","BRD-U86222656_10 uM_6 h"
"211","CPC019_HT29_6H:BRD-K57309821-001-05-8:10","HT29","BRD-K57309821_10 uM_6 h"
"212","CPC015_A375_6H:BRD-K57718010-001-08-5:10","A375","pentylenetetrazol_10 uM_6 h"
"213","CPC010_A375_6H:I19","A375","BRD-K53423944_10 uM_6 h"
"214","CPC016_HT29_6H:BRD-K89930444-001-01-9:10","HT29","AG-592_10 uM_6 h"
"215","CPC006_HT29_24H:BRD-K33272502-001-01-2:40","HT29","DG-041_40 uM_24 h"
"216","CPC006_HT29_6H:B19","HT29","COT-10b_40 uM_6 h"
"217","CPC013_HT29_6H:D22","HT29","BRD-K19166598_10 uM_6 h"
"218","CPC012_HT29_6H:BRD-K72615639-001-01-0:10","HT29","BRD-K72615639_10 uM_6 h"
"219","CPC008_A375_6H:C13","A375","VU-0420364-1_10 uM_6 h"
"220","CPC015_A375_6H:BRD-A49160188-003-04-4:10","A375","donepezil_10 uM_6 h"
"221","CPC019_A375_6H:BRD-K08448573-001-01-3:10","A375","BRD-K08448573_10 uM_6 h"
"222","CPC004_HT29_6H:BRD-A62184259-001-02-8:10","HT29","cycloheximide_10 uM_6 h"
"223","CPC006_HT29_6H:P13","HT29","PP-30_12 uM_6 h"
"224","CPC012_A375_6H:H20","A375","BRD-K08307026_10 uM_6 h"
"225","CPC013_HT29_6H:L10","HT29","MD-II-008-P_10 uM_6 h"
"226","CPC014_HT29_6H:BRD-K82206012-001-01-3:10","HT29","BRD-K82206012_10 uM_6 h"
"227","CPC005_A375_24H:BRD-K43736954-001-03-3:10","A375","cortisone_10 uM_24 h"
"228","CPC005_HT29_24H:BRD-K20152659-001-02-0:10","HT29","BRD-K20152659_10 uM_24 h"
"229","CPC005_HT29_24H:BRD-K19554809-001-01-1:10","HT29","MK-212_10 uM_24 h"
"230","CPC019_A375_6H:BRD-K46373671-001-01-8:10","A375","BRD-K46373671_10 uM_6 h"
"231","CPC008_HT29_6H:BRD-K79554012-001-01-1:10","HT29","BRD-K79554012_10 uM_6 h"
"232","CPC012_A375_6H:A06","A375","BRD-K90446118_10 uM_6 h"
"233","CPC016_HT29_6H:BRD-K78633253-001-04-6:10","HT29","EXO-1_10 uM_6 h"
"234","CPC017_HT29_6H:BRD-A38030642-001-01-2:10","HT29","cyclosporin-a_10 uM_6 h"
"235","CPC019_HT29_6H:BRD-K23282736-001-01-1:10","HT29","BRD-K23282736_10 uM_6 h"
"236","CPC006_HT29_24H:BRD-K92991072-001-02-3:10","HT29","PAC-1_10 uM_24 h"
"237","CPC006_HT29_24H:BRD-K67075780-001-03-7:160","HT29","TGX-115_150 uM_24 h"
"238","CPC020_HT29_6H:BRD-K75430629-001-03-9:10","HT29","BRD-K75430629_10 uM_6 h"
"239","CPC008_HT29_6H:BRD-K28040935-019-01-9:10","HT29","BRD-K28040935_10 uM_6 h"
"240","CPC012_A375_6H:L14","A375","HU-211_10 uM_6 h"
"241","CPC016_HT29_6H:BRD-K06543683-066-01-3:10","HT29","bisindolylmaleimide-ix_10 uM_6 h"
"242","CPC014_HT29_6H:BRD-K94294671-003-01-3:10","HT29","OSI-027_10 uM_6 h"
"243","CPC008_A375_6H:P18","A375","KU-C104495_10 uM_6 h"
"244","CPC013_A375_6H:BRD-K64881305-001-01-1:10","A375","ispinesib_10 uM_6 h"
"245","CPC013_A375_6H:BRD-K85266146-001-01-3:10","A375","BRD-K85266146_10 uM_6 h"
"246","CPC015_HT29_6H:BRD-A25775766-001-03-3:10","HT29","securinine_10 uM_6 h"
"247","CPC018_HT29_6H:BRD-A46747628-001-01-9:10","HT29","ouabain_10 uM_6 h"
"248","CPC020_A375_6H:BRD-A07780951-001-05-5:10","A375","orciprenaline_10 uM_6 h"
"249","CPC015_A375_6H:BRD-A83326220-001-04-2:10","A375","brazilin_10 uM_6 h"
"250","CPC005_A375_24H:BRD-A61470182-001-02-4:10","A375","N-formylmethionylalanine_10 uM_24 h"
"251","CPC019_A375_6H:BRD-K71303366-001-01-3:10","A375","BRD-K71303366_10 uM_6 h"
"252","CPC009_HT29_6H:BRD-K18726304-019-01-8:10","HT29","BRD-K18726304_10 uM_6 h"
"253","CPC013_A375_6H:BRD-K28120222-001-05-0:10","A375","BRD-K28120222_10 uM_6 h"
"254","CPC015_A375_6H:BRD-A67799922-003-15-3:10","A375","phenoxybenzamine_10 uM_6 h"
"255","CPC010_HT29_6H:BRD-A72180425-001-10-6:10","HT29","K784-3188_10 uM_6 h"
"256","CPC006_HT29_6H:O15","HT29","BRD-A28105619_10 uM_6 h"
"257","CPC006_HT29_6H:G14","HT29","auranofin_10 uM_6 h"
"258","CPC020_A375_6H:BRD-K16533489-001-01-5:10","A375","I-606051_10 uM_6 h"
"259","CPC020_A375_6H:BRD-A82307304-001-01-8:10","A375","atorvastatin_10 uM_6 h"
"260","CPC012_HT29_6H:BRD-A51777634-001-01-0:10","HT29","VU-0418933-1_10 uM_6 h"
"261","CPC018_A375_6H:BRD-K51290057-001-01-0:10","A375","SA-792709_10 uM_6 h"
"262","CPC004_HT29_6H:BRD-K03109492-001-01-4:10","HT29","NSC-663284_10 uM_6 h"
"263","CPC012_HT29_6H:BRD-K74761218-001-03-5:10","HT29","WT-171_10 uM_6 h"
"264","CPC018_A375_6H:BRD-K37392901-003-01-7:10","A375","NSC-632839_10 uM_6 h"
"265","CPC011_A375_6H:BRD-K13664374-001-04-3:10","A375","dichloroacetic-acid_10 uM_6 h"
"266","CPC015_HT29_6H:BRD-A36471396-003-02-2:10","HT29","biperiden_10 uM_6 h"
"267","CPC010_A375_6H:H17","A375","BRD-K27169919_10 uM_6 h"
"268","CPC017_A375_6H:BRD-K30189597-001-01-7:10","A375","SYK-inhibitor_10 uM_6 h"
"269","CPC019_A375_6H:BRD-K06592610-001-01-5:10","A375","BRD-K06592610_10 uM_6 h"
"270","CPC006_HT29_6H:D03","HT29","CD-1530_40 uM_6 h"
"271","CPC012_A375_6H:O20","A375","BRD-A43155244_10 uM_6 h"
"272","CPC017_HT29_6H:BRD-K26669427-001-01-0:10","HT29","WR-216174_10 uM_6 h"
"273","CPC018_HT29_6H:BRD-K06234293-001-01-8:10","HT29","LY-364947_10 uM_6 h"
"274","CPC013_HT29_6H:L12","HT29","RS-I-002-6_10 uM_6 h"
"275","CPC015_HT29_6H:BRD-A39969961-001-01-3:10","HT29","eplerenone_10 uM_6 h"
"276","CPC017_A375_6H:BRD-K59469039-001-03-1:10","A375","AG-879_10 uM_6 h"
