,sig_id,conditionId,cell_iname
50,DOSBIO002_A375_24H:BRD-K51034923:10.1306,BRD-K51034923_10 uM_24 h,A375
51,LCP001_MCF10A.KRAS.HG_24H:I16,nutlin-3_10 uM_24 h,MCF10A
52,AML001_CD34_6H:BRD-K13077924:3.33333,BRD-K13077924_3.33 uM_6 h,CD34
53,PCL001_HA1E_24H:BRD-K11413513:10,BRD-K11413513_10 uM_24 h,HA1E
54,TAA001_SHSY5Y_24H:C04,disulfiram_0.37 uM_24 h,SHSY5Y
55,DOSBIO001_MCF7_24H:BRD-K96697180:9.36695,BRD-K96697180_10 uM_24 h,MCF7
56,DOSBIO002_NPC_24H:BRD-K58808184:9.81336,BRD-K58808184_10 uM_24 h,NPC
57,PCL001_HCC515_24H:BRD-K77620628:10,BRD-K77620628_10 uM_24 h,HCC515
58,NMH002_NPC_6H:BRD-K74148702-001-05-3:10,curcumin_10 uM_6 h,NPC
59,CPD002_MCF7_24H:BRD-K92923799-001-01-0:10,digitoxigenin_10 uM_24 h,MCF7
60,CVD001_HEPG2_6H:BRD-K19876534-001-01-0:10.0701,BRD-K19876534_10 uM_6 h,HEPG2
61,ABY001_SKBR3_XH:BRD-K19687926:0.625:24,lapatinib_0.66 uM_24 h,SKBR3
62,PRISM001_MCF7_24H:BRD-K29830875:0.312,TL-AA09_0.3 uM_24 h,MCF7
63,DOSBIO002_A549_24H:BRD-K19198293:9.79693,BRD-K19198293_10 uM_24 h,A549
64,CVD001_HEPG2_6H:BRD-K07339740-001-01-3:10.1832,BRD-K07339740_10 uM_6 h,HEPG2
65,ENR001_MCF7_24H:P21,pen_1.11 uM_24 h,MCF7
66,PCL001_A375_24H:BRD-K11413513:10,BRD-K11413513_10 uM_24 h,A375
67,ERAM001_MCF7_24H:BRD-K96123349:4,brequinar_4 uM_24 h,MCF7
68,DOSBIO002_MCF7_24H:BRD-K49477330:10.016,BRD-K49477330_10 uM_24 h,MCF7
69,DOSBIO002_MCF7_24H:BRD-K67236950:10.6884,BRD-K67236950_10 uM_24 h,MCF7
70,DOSBIO002_NPC_24H:BRD-K91063002:9.61428,BRD-K91063002_10 uM_24 h,NPC
71,HOG002_MCF7_24H:BRD-K88378636-001-02-8:0.3704,withaferin-a_0.37 uM_24 h,MCF7
72,ERAM001_A549_24H:BRD-K96884956:20.48,BRD-K96884956_20 uM_24 h,A549
73,PCL001_HA1E_24H:BRD-K49893531:10,BRD-K49893531_10 uM_24 h,HA1E
74,KTOX002_HPTEC_6H:BRD-K71799949:316.2,carbamazepine_320 uM_6 h,HPTEC
75,PCL001_HEPG2_24H:BRD-K78059568:0.04,ly-ester_0.04 uM_24 h,HEPG2
76,DOSBIO001_MCF7_24H:BRD-K93158953:10.049,BRD-K93158953_10 uM_24 h,MCF7
77,POL001_HEPG2_24H:L03,BMS-387032_1.11 uM_24 h,HEPG2
78,CPD002_MCF7_24H:BRD-K03222093-001-01-8:10,cyclosporin-a_10 uM_24 h,MCF7
79,DOSBIO002_NPC_24H:BRD-K55077180:10.2381,BRD-K55077180_10 uM_24 h,NPC
80,PCL001_HA1E_24H:BRD-A59468452:1.11,BRD-A59468452_1.11 uM_24 h,HA1E
81,DOSBIO002_NPC_24H:BRD-K81408913:9.98515,BRD-K81408913_10 uM_24 h,NPC
82,DOSBIO002_PC3_24H:BRD-K55149044:10,BRD-K55149044_10 uM_24 h,PC3
83,PCL001_HCC515_24H:BRD-A59468452:0.12,BRD-A59468452_0.12 uM_24 h,HCC515
84,NMH002_NPC_24H:BRD-K46918889-001-02-6:10,BG-1025_10 uM_24 h,NPC
85,CVD001_HEPG2_24H:BRD-K55149044-001-01-0:10.3068,BRD-K55149044_10 uM_24 h,HEPG2
86,DOSBIO001_A549_24H:BRD-K78133682:10.2009,BRD-K78133682_10 uM_24 h,A549
87,GMB001_HL60_2H:BRD-K40175214:0.2,torin-1_0.2 uM_2 h,HL60
88,DOSBIO002_NPC_24H:BRD-K87125912:9.98177,BRD-K87125912_10 uM_24 h,NPC
89,CEGS001_NPC.177_24H:E07,fluvastatin_25 uM_24 h,NPC
90,NMH002_NPC_6H:BRD-K08316444-001-06-8:10,rotenone_10 uM_6 h,NPC
91,TAA001_SHSY5Y_24H:K19,WIN-552122_10 uM_24 h,SHSY5Y
92,DOSBIO002_A549_24H:BRD-K98624380:10.1901,BRD-K98624380_10 uM_24 h,A549
93,LRS001_PHH.MGH_24H:B13,ISOX_10 uM_24 h,PHH
94,CPD002_MCF7_24H:BRD-K36760124-001-01-1:10,lanatoside-c_10 uM_24 h,MCF7
95,KTOX002_HPTEC_6H:BRD-A22068566:1000,amanitin_1000 uM_6 h,HPTEC
96,DOSBIO001_A549_24H:BRD-K92543914:10.1247,BRD-K92543914_10 uM_24 h,A549
97,NMH002_NPC_6H:BRD-K76097666-001-03-9:10,itdac-1_10 uM_6 h,NPC
98,DOSBIO001_NPC_24H:BRD-K48673964:10.0728,BRD-K48673964_10 uM_24 h,NPC
99,KTOX002_HPTEC_24H:BRD-K48247567:31623,diatrizoic-acid_32000 uM_24 h,HPTEC
100,LPROT002_A549_6H:BRD-K80738081:10,resveratrol_10 uM_6 h,A549
101,PCL001_MCF7_24H:BRD-K39841531:3.33,TG-101209_3.33 uM_24 h,MCF7
102,ERAM001_MCF7_24H:BRD-K70565046:2.64,BRD-K70565046_2.5 uM_24 h,MCF7
103,ERAM001_MCF7_24H:BRD-K46897165:19.98,BRD-K46897165_20 uM_24 h,MCF7
104,DOSBIO002_A549_24H:BRD-K25990552:10.234,BRD-K25990552_10 uM_24 h,A549
105,CEGS001_NPC.179_24H:L01,clozapine_25 uM_24 h,NPC
106,DOSBIO001_NPC_24H:BRD-K96396151:10.0106,BRD-K96396151_10 uM_24 h,NPC
107,DOSBIO002_PC3_24H:BRD-K29423519:9.37945,BRD-K29423519_10 uM_24 h,PC3
108,DOSBIO001_MCF7_24H:BRD-K14475668:10.2224,BRD-K14475668_10 uM_24 h,MCF7
109,POL001_JURKAT_24H:O07,JG-98_4 uM_24 h,JURKAT
110,KTOX002_HPTEC_6H:BRD-K13183738:316.2,pentamidine_320 uM_6 h,HPTEC
111,PCL001_HEPG2_24H:BRD-K30842649:10,BRD-K30842649_10 uM_24 h,HEPG2
112,DOSBIO001_NPC_24H:BRD-K75845944:10.0028,BRD-K75845944_10 uM_24 h,NPC
113,DOSBIO002_MCF7_24H:BRD-K41335306:9.98187,BRD-K41335306_10 uM_24 h,MCF7
114,DOSBIO002_NPC_24H:BRD-K16714380:10.0318,BRD-K16714380_10 uM_24 h,NPC
115,CPD001_PC3_24H:BRD-A67709388-001-04-7:10,antimycin-a_10 uM_24 h,PC3
116,HOG002_MCF7_6H:BRD-K15108141-001-01-7:11.1,gemcitabine_12 uM_6 h,MCF7
117,PCL001_A549_24H:BRD-A89859721:0.37,BRD-A89859721_0.37 uM_24 h,A549
118,DOSBIO001_NPC_24H:BRD-K00141503:9.88644,BRD-K00141503_10 uM_24 h,NPC
119,DOSBIO001_MCF7_24H:BRD-K42197878:9.8377,BRD-K42197878_10 uM_24 h,MCF7
120,CPD002_PC3_6H:BRD-A80567352-003-01-6:10,aceclidine_10 uM_6 h,PC3
121,NMH002_NPC_24H:BRD-A54024781-001-02-3:10,BG-1008_10 uM_24 h,NPC
122,CPD003_MCF7_24H:M11,simvastatin_10 uM_24 h,MCF7
123,PCL001_MCF7_24H:BRD-K38292946:3.33,BRD-K38292946_3.33 uM_24 h,MCF7
124,DOSBIO001_MCF7_24H:BRD-K38294617:9.84551,BRD-K38294617_10 uM_24 h,MCF7
125,NMH001_NPC_6H:BRD-K80062189-001-01-9:10,BRD-K80062189_10 uM_6 h,NPC
126,DOSBIO001_PC3_24H:BRD-K28934562:10.0731,BRD-K28934562_10 uM_24 h,PC3
127,POL001_PC3_24H:M13,oligomycin-a_10 uM_24 h,PC3
128,LCP001_MCF10A.WT_6H:P03,PNU-74654_1.11 uM_6 h,MCF10A
129,CPD002_MCF7_24H:BRD-K41406082-001-11-3:10,sulfapyridine_10 uM_24 h,MCF7
130,PCL001_A549_24H:BRD-A59468452:10,BRD-A59468452_10 uM_24 h,A549
131,DOSBIO001_NPC_24H:BRD-K96041907:10.2154,BRD-K96041907_10 uM_24 h,NPC
132,HOG002_A549_24H:BRD-K28907958-001-02-7:3.7,CD-437_4 uM_24 h,A549
133,DOSBIO001_MCF7_24H:BRD-K30229575:10.1026,BRD-K30229575_10 uM_24 h,MCF7
134,POL001_HEPG2_24H:O13,arbidol_10 uM_24 h,HEPG2
135,POL001_JURKAT_24H:N13,CD-1530_10 uM_24 h,JURKAT
136,HOG001_A549_24H:BRD-K01737880-001-02-2:10,BRD-K01737880_10 uM_24 h,A549
137,CPD001_PC3_24H:BRD-K08619574-334-04-7:10,thioproperazine_10 uM_24 h,PC3
138,KTOX002_HPTEC_6H:BRD-K78010432:1000,furosemide_1000 uM_6 h,HPTEC
139,MOA001_U2OS_24H:D12,BRD-K91041732_0.37 uM_24 h,U2OS
140,DOSBIO001_PC3_24H:BRD-K95047050:10.016,BRD-K95047050_10 uM_24 h,PC3
141,DOSBIO002_PC3_24H:BRD-K85806228:10.0786,BRD-K85806228_10 uM_24 h,PC3
142,PCL001_HCC515_24H:BRD-A89859721:10,BRD-A89859721_10 uM_24 h,HCC515
143,DOSBIO001_A549_24H:BRD-K08317416:10.1576,BRD-K08317416_10 uM_24 h,A549
144,POL001_HEPG2_24H:H13,WYE-125132_10 uM_24 h,HEPG2
145,LCP001_MCF10A.WT_6H:I06,camptothecin_1.11 uM_6 h,MCF10A
146,PCL001_A549_24H:BRD-K11413513:10,BRD-K11413513_10 uM_24 h,A549
147,KTOX002_HPTEC_6H:BRD-A88208128:1000,tetracycline_1000 uM_6 h,HPTEC
148,MOA001_U2OS_24H:G18,Merck60_3.33 uM_24 h,U2OS
149,DOSBIO002_A549_24H:BRD-K77793090:9.7484,BRD-K77793090_10 uM_24 h,A549
150,CPD001_PC3_24H:BRD-A41304429-001-09-8:10,practolol_10 uM_24 h,PC3
151,PCL001_HCC515_24H:BRD-K40328231:10,BRD-K40328231_10 uM_24 h,HCC515
152,NMH002_NPC_6H:BRD-K82189384-001-01-1:10,BG-1011_10 uM_6 h,NPC
153,CVD001_HEPG2_6H:BRD-K55082668-001-01-8:9.9402,BRD-K55082668_10 uM_6 h,HEPG2
154,KTOX002_HPTEC_6H:BRD-U68106254:100,potassium-dichromate_100 uM_6 h,HPTEC
155,KTOX002_HPTEC_6H:BRD-A79768653:10,sirolimus_10 uM_6 h,HPTEC
156,PCL001_HEPG2_24H:BRD-K40328231:10,BRD-K40328231_10 uM_24 h,HEPG2
157,DOSBIO001_PC3_24H:BRD-K17890048:9.6625,BRD-K17890048_10 uM_24 h,PC3
158,DOSBIO001_NPC_24H:BRD-K99718824:10.0261,BRD-K99718824_10 uM_24 h,NPC
159,DOSBIO001_PC3_24H:BRD-K04380254:9.968,BRD-K04380254_10 uM_24 h,PC3
160,DOSBIO002_MCF7_24H:BRD-K74316684:9.93637,BRD-K74316684_10 uM_24 h,MCF7
161,PCL001_A549_24H:BRD-K43471985:10,OTX-015_10 uM_24 h,A549
162,DOSBIO001_MCF7_24H:BRD-K40138205:10.024,BRD-K40138205_10 uM_24 h,MCF7
163,CPD001_PC3_24H:BRD-K56558538-003-07-7:10,ambroxol_10 uM_24 h,PC3
164,NMH002_NPC_24H:BRD-K37312348-001-12-7:10,kenpaullone_10 uM_24 h,NPC
165,DOSBIO002_A549_24H:BRD-K97972722:10.2327,BRD-K97972722_10 uM_24 h,A549
166,CPD002_PC3_24H:BRD-K72723676-003-12-9:10,benzethonium_10 uM_24 h,PC3
167,KHW001_HA1E_6H:BRD-K02764265-001-05-2:10,BRD-K02764265_10 uM_6 h,HA1E
168,ERAM001_A549_24H:BRD-K70565046:2.64,BRD-K70565046_2.5 uM_24 h,A549
169,DOSBIO001_NPC_24H:BRD-K68319707:10.0384,BRD-K68319707_10 uM_24 h,NPC
170,DOSBIO002_NPC_24H:BRD-K41335306:9.98187,BRD-K41335306_10 uM_24 h,NPC
171,DOSBIO002_A549_24H:BRD-K61753121:10.0904,BRD-K61753121_10 uM_24 h,A549
172,POL001_JURKAT_24H:I21,LDN-193189_1.11 uM_24 h,JURKAT
173,CVD001_HEPG2_24H:BRD-K86336638-001-01-8:9.804,BRD-K86336638_10 uM_24 h,HEPG2
174,PCL001_HEPG2_24H:BRD-K38292946:10,BRD-K38292946_10 uM_24 h,HEPG2
175,DOSBIO001_NPC_24H:BRD-K51595563:10.2765,BRD-K51595563_10 uM_24 h,NPC
176,POL001_PC3_24H:A19,BRD-K83354763_10 uM_24 h,PC3
177,CPD001_PC3_24H:BRD-K50859149-001-13-8:10,sulfafurazole_10 uM_24 h,PC3
178,CPD001_PC3_24H:BRD-K52431530-001-07-3:10,josamycin_10 uM_24 h,PC3
179,CPD003_MCF7_24H:H22,methiazole_10 uM_24 h,MCF7
180,DOSBIO001_NPC_24H:BRD-K42197878:9.8377,BRD-K42197878_10 uM_24 h,NPC
181,LCP001_MCF10A.WT_3H:D09,doxorubicin_1.11 uM_3 h,MCF10A
182,CPD001_PC3_24H:BRD-K46503544-001-02-3:10,etoposide_10 uM_24 h,PC3
183,NMH001_NPC_6H:BRD-K19042873-001-01-8:10,BRD-K19042873_10 uM_6 h,NPC
184,CPD001_MCF7_24H:BRD-A17828570-001-01-0:10,fulvestrant_10 uM_24 h,MCF7
185,LPROT004_YAPC_6H:BRD-K52560704:10,methylstat_10 uM_6 h,YAPC
186,HDAC002_MCF7_24H:BRD2492_+_BRD3308:10,BRD2492 + BRD3308_10 uM_24 h,MCF7
187,PCL001_HA1E_24H:BRD-K40328231:10,BRD-K40328231_10 uM_24 h,HA1E
188,NMH002_NPC_6H:BRD-K81473043-001-07-0:10,tanespimycin_10 uM_6 h,NPC
189,NMH002_FIBRNPC_24H:BRD-K60623809-001-04-6:10,SU-11652_10 uM_24 h,NPC
190,DOSBIO002_PC3_24H:BRD-K48296029:10.2333,BRD-K48296029_10 uM_24 h,PC3
191,DOSBIO001_MCF7_24H:BRD-K71742078:10.2688,BRD-K71742078_10 uM_24 h,MCF7
192,DOSBIO001_NPC_24H:BRD-K93158953:10.049,BRD-K93158953_10 uM_24 h,NPC
193,DOSBIO002_NPC_24H:BRD-K74316684:9.93637,BRD-K74316684_10 uM_24 h,NPC
194,CPD002_PC3_24H:BRD-K04949373-001-01-6:10,parthenolide_10 uM_24 h,PC3
195,DOSBIO002_A549_24H:BRD-K55260239:9.93527,BRD-K55260239_10 uM_24 h,A549
196,CPD002_PC3_24H:BRD-K40476324-001-01-6:10,digoxin_10 uM_24 h,PC3
197,LPROT002_NPC.TAK_6H:BRD-K64634304:3,tretinoin_3.33 uM_6 h,NPC
198,LPROT004_YAPC_6H:BRD-K07691486:10,roscovitine_10 uM_6 h,YAPC
199,POL001_PC3_24H:B13,BRD-K86574132_10 uM_24 h,PC3
200,POL001_MCF7_24H:A17,prostratin_0.125 uM_24 h,MCF7
201,LCP001_MCF10A.WT_3H:B14,bosutinib_3.33 uM_3 h,MCF10A
202,NMH002_NPC_6H:BRD-K69840642-001-02-2:10,ISOX_10 uM_6 h,NPC
203,CPD002_MCF7_6H:BRD-K35862502-001-01-8:10,pregnenolone_10 uM_6 h,MCF7
204,RAD001_HCC515_6H:BRD-K83896451-001-02-6:0.0015,glutamine_0.002 uM_6 h,HCC515
205,DOSBIO002_NPC_24H:BRD-K89824424:9.82599,BRD-K89824424_10 uM_24 h,NPC
206,CPD002_PC3_6H:BRD-A72988804-001-07-9:10,tiaprofenic-acid_10 uM_6 h,PC3
207,LPROT003_A549_6H:BRD-K64634304:3,tretinoin_3.33 uM_6 h,A549
208,KTOX002_HPTEC_6H:BRD-U12060954:1000,BRD-U12060954_1000 uM_6 h,HPTEC
209,PCL001_HCC515_24H:BRD-K71855865:10,BRD-K71855865_10 uM_24 h,HCC515
210,NMH001_NPC_6H:BRD-A78236793-001-01-3:10,BRD-A78236793_10 uM_6 h,NPC
211,CPD003_MCF7_24H:O10,tyloxapol_10 uM_24 h,MCF7
212,ERAM001_A549_24H:BRD-K03587208:20.02,BRD-K03587208_20 uM_24 h,A549
213,PCL001_A549_24H:BRD-K38292946:10,BRD-K38292946_10 uM_24 h,A549
214,DOSBIO002_MCF7_24H:BRD-K87838848:9.99211,BRD-K87838848_10 uM_24 h,MCF7
215,KMS002_THP1_6H:BRD-K51556300-001-01-9:10.15,BRD-K51556300_10 uM_6 h,THP1
216,CPD002_MCF7_24H:BRD-K60507178-001-01-0:10,BRD-K60507178_10 uM_24 h,MCF7
217,CVD001_HUH7_6H:BRD-K63750851-001-05-8:2.5,BRD-K63750851_2.5 uM_6 h,HUH7
218,CVD001_HUH7_24H:BRD-K67860401-001-02-3:9.99,AR-A014418_10 uM_24 h,HUH7
219,KTOX002_HPTEC_6H:BRD-A79545933:3162,BRD-A79545933_3200 uM_6 h,HPTEC
220,CPD002_MCF7_6H:BRD-K46531780-003-13-0:10,methyl-benzethonium_10 uM_6 h,MCF7
221,CVD001_HUH7_6H:BRD-K41878610-001-01-5:10.0787,BRD-K41878610_10 uM_6 h,HUH7
222,LRS001_PHH.MGH_24H:A10,NVP-BEZ235_10 uM_24 h,PHH
223,NMH001_NPC_6H:BRD-K96799727-001-04-1:10,pifithrin-mu_10 uM_6 h,NPC
224,CPD001_MCF7_24H:BRD-K73251053-003-16-4:10,clorgiline_10 uM_24 h,MCF7
225,CVD001_HEPG2_6H:BRD-K85985071-001-16-5:2.5,ellipticine_2.5 uM_6 h,HEPG2
226,MOA001_U2OS_24H:N22,GSK-2816126_0.37 uM_24 h,U2OS
227,POL001_HEPG2_24H:O07,JG-98_4 uM_24 h,HEPG2
228,CPD001_PC3_24H:BRD-K50406511-001-20-3:10,hycanthone_10 uM_24 h,PC3
229,DOSBIO002_PC3_24H:BRD-K19390271:9.81225,BRD-K19390271_10 uM_24 h,PC3
230,PCL001_HCC515_24H:BRD-K84633118:10,BRD-K84633118_10 uM_24 h,HCC515
231,CEGS001_NPC.179_24H:E01,amitriptyline_25 uM_24 h,NPC
232,POL001_JURKAT_24H:M07,PD-198306_10 uM_24 h,JURKAT
233,CPD002_MCF7_24H:BRD-K52075715-001-04-2:10,oxibendazole_10 uM_24 h,MCF7
234,LCP001_MCF10A.PIK3CA.HH_24H:E11,ABT-751_3.33 uM_24 h,MCF10A
235,CVD001_HEPG2_24H:BRD-K59469039-001-04-9:10,AG-879_10 uM_24 h,HEPG2
236,LPROT002_MCF7_6H:BRD-K61688984:3.5,RGFP-966_3.33 uM_6 h,MCF7
237,LPROT004_YAPC_6H:BRD-K80738081:10,resveratrol_10 uM_6 h,YAPC
238,ERAM001_MCF7_24H:BRD-K90004018:2.63,BRD-K90004018_2.5 uM_24 h,MCF7
239,HOG003_A549_24H:BRD-A18763547-300-04-8:10,BRD-A18763547_10 uM_24 h,A549
240,HOG003_A549_24H:BRD-K09499853-305-01-1:10,KU-0060648_10 uM_24 h,A549
241,CVD001_HUH7_24H:BRD-K74228917-001-01-3:10,BRD-K74228917_10 uM_24 h,HUH7
242,POL001_PC3_24H:B07,rottlerin_10 uM_24 h,PC3
243,AML001_CD34_6H:BRD-K49071277:10,securinine_10 uM_6 h,CD34
244,PCL001_HEPG2_24H:BRD-K92428232:0.04,GSK-461364_0.04 uM_24 h,HEPG2
245,DOSBIO001_NPC_24H:BRD-K24656059:10.0565,BRD-K24656059_10 uM_24 h,NPC
246,DOSBIO002_NPC_24H:BRD-K27865298:10.0276,BRD-K27865298_10 uM_24 h,NPC
247,GMB001_HL60_2H:BRD-A90490067:10,fulvestrant_10 uM_2 h,HL60
248,AML001_PC3_6H:BRD-A73558769:3.33333,BRD-A73558769_3.33 uM_6 h,PC3
249,PCL001_A549_24H:BRD-K77620628:10,BRD-K77620628_10 uM_24 h,A549
250,PCL001_HEPG2_24H:BRD-A59468452:0.37,BRD-A59468452_0.37 uM_24 h,HEPG2
251,HOG001_A549_24H:BRD-K92317137-001-04-0:3.33,BRD-K92317137_3.33 uM_24 h,A549
252,CVD001_HEPG2_6H:BRD-K57064803-001-01-0:10.0929,BRD-K57064803_10 uM_6 h,HEPG2
253,DOSBIO002_PC3_24H:BRD-K80169513:9.9532,BRD-K80169513_10 uM_24 h,PC3
254,LCP001_MCF10A.WT_12H:G02,AS-703026_3.33 uM_12 h,MCF10A
255,CEGS001_NPC.215_24H:A18,modafinil_0.74 uM_24 h,NPC
256,CPD001_PC3_24H:BRD-K34730807-001-11-9:10,levodopa_10 uM_24 h,PC3
257,DOSBIO002_PC3_24H:BRD-K22912836:10.0162,BRD-K22912836_10 uM_24 h,PC3
258,DOSBIO002_PC3_24H:BRD-K98624380:10.1901,BRD-K98624380_10 uM_24 h,PC3
259,PCL001_HCC515_24H:BRD-K45962729:10,BRD-K45962729_10 uM_24 h,HCC515
260,DOSBIO001_MCF7_24H:BRD-K74446951:9.80202,BRD-K74446951_10 uM_24 h,MCF7
261,CPD002_MCF7_6H:BRD-A23689620-001-01-8:10,avermectin_10 uM_6 h,MCF7
262,LPROT002_NPC.TAK_6H:BRD-K92960067:10,SMER-3_10 uM_6 h,NPC
263,DOSBIO001_NPC_24H:BRD-K88822846:10.1074,BRD-K88822846_10 uM_24 h,NPC
264,PCL001_HCC515_24H:BRD-K50817946:3.33,BRD-K50817946_3.33 uM_24 h,HCC515
265,DOSBIO002_NPC_24H:BRD-K22052171:9.97874,BRD-K22052171_10 uM_24 h,NPC
266,DOSBIO002_PC3_24H:BRD-K79532217:10.3153,BRD-K79532217_10 uM_24 h,PC3
267,NMH001_NPC_24H:L22,BRD-K13629382_10 uM_24 h,NPC
268,ABY001_NCIH508_XH:BRD-K70401845:10:24,erlotinib_10 uM_24 h,NCIH508
269,KTOX002_HPTEC_6H:BRD-A46684810:10,colchicine_10 uM_6 h,HPTEC
270,DOSBIO002_PC3_24H:BRD-K20109053:10.0611,BRD-K20109053_10 uM_24 h,PC3
271,DOSBIO002_A549_24H:BRD-K29423519:9.37945,BRD-K29423519_10 uM_24 h,A549
272,DOSBIO002_A549_24H:BRD-K45843042:9.85433,SA-419083_10 uM_24 h,A549
273,CVD001_HEPG2_6H:BRD-K47150025-001-01-2:2.5,KI-8751_2.5 uM_6 h,HEPG2
274,ABY001_SKBR3_XH:BRD-K66175015:2.5:24,afatinib_2.5 uM_24 h,SKBR3
275,AML001_PC3_6H:BRD-K27499107:10,carbacyclin_10 uM_6 h,PC3
276,PCL001_HA1E_24H:BRD-K84633118:10,BRD-K84633118_10 uM_24 h,HA1E
277,MOA001_U2OS_24H:I22,necrosulfonamide_3.33 uM_24 h,U2OS
