,sig_id,conditionId,cell_iname
85,DOSBIO001_A549_24H:BRD-K23985857:10,BRD-K23985857_10 uM_24 h,A549
86,DOSBIO001_PC3_24H:BRD-K63494246:10.0183,BRD-K63494246_10 uM_24 h,PC3
87,PCL001_HCC515_24H:BRD-K61498099:5,BRD-K61498099_4 uM_24 h,HCC515
88,DOSBIO001_MCF7_24H:BRD-K48673964:10.0728,BRD-K48673964_10 uM_24 h,MCF7
89,CPD001_MCF7_24H:BRD-K52256627-001-17-7:10,chlorhexidine_10 uM_24 h,MCF7
90,CPD002_MCF7_24H:BRD-K08547377-394-01-9:10,irinotecan_10 uM_24 h,MCF7
91,MOA001_A549_24H:G17,Merck60_10 uM_24 h,A549
92,KTOX002_HPTEC_24H:BRD-A55424491:10,methotrexate_10 uM_24 h,HPTEC
93,MOA001_U2OS_24H:K08,BRD-K38921908_3.33 uM_24 h,U2OS
94,PCL001_HEPG2_24H:BRD-K62627073:0.12,erismo-ester_0.12 uM_24 h,HEPG2
95,PCL001_HEPG2_24H:BRD-K59023263:3.33,BRD-K59023263_3.33 uM_24 h,HEPG2
96,CPD001_PC3_24H:BRD-K58930050-103-01-5:10,BRD-K58930050_10 uM_24 h,PC3
97,LPROT004_YAPC_6H:BRD-A65730376:3,BRD-A65730376_3.33 uM_6 h,YAPC
98,DOSBIO001_PC3_24H:BRD-K07907451:9.93583,BRD-K07907451_10 uM_24 h,PC3
99,DOSBIO002_PC3_24H:BRD-K28649955:10.2581,BRD-K28649955_10 uM_24 h,PC3
100,LCP001_MCF10A.KRAS.HG_24H:D13,rigosertib_10 uM_24 h,MCF10A
101,PCL001_HA1E_24H:BRD-K77620628:10,BRD-K77620628_10 uM_24 h,HA1E
102,POL001_JURKAT_24H:G07,sirolimus_10 uM_24 h,JURKAT
103,POL001_JURKAT_24H:D07,curcumin_10 uM_24 h,JURKAT
104,CVD001_HEPG2_6H:BRD-K18710049-001-01-0:10.0685,BRD-K18710049_10 uM_6 h,HEPG2
105,CEGS001_NPC.170_24H:L19,ziprasidone_25 uM_24 h,NPC
106,LPROT001_PC3_6H:BRD-K87124298:2,OSI-027_2.22 uM_6 h,PC3
107,LPROT004_YAPC_6H:BRD-K27305650:10,LY-294002_10 uM_6 h,YAPC
108,ERAM001_A549_24H:BRD-K67422388:20.13,BRD-K67422388_20 uM_24 h,A549
109,DOSBIO001_MCF7_24H:BRD-K79793338:9.98956,BRD-K79793338_10 uM_24 h,MCF7
110,CPD002_PC3_6H:BRD-M45038741-046-03-3:10,metoprolol_10 uM_6 h,PC3
111,KMS002_NOMO1_6H:BRD-K58466974-001-01-9:0.37,TUL_XXI035_0.37 uM_6 h,NOMO1
112,CPD002_PC3_6H:BRD-K34411947-001-07-5:10,streptozotocin_10 uM_6 h,PC3
113,PCL001_HCC515_24H:BRD-K62627073:3.33,erismo-ester_3.33 uM_24 h,HCC515
114,DOSBIO002_A549_24H:BRD-K98437249:10.0411,BRD-K98437249_10 uM_24 h,A549
115,POL001_PC3_24H:O07,JG-98_4 uM_24 h,PC3
116,POL001_PC3_24H:D05,rotenone_0.125 uM_24 h,PC3
117,NMH001_NPC_24H:N15,serotonin_10 uM_24 h,NPC
118,CPD001_PC3_24H:BRD-K51318897-001-09-6:10,fenbendazole_10 uM_24 h,PC3
119,CEGS001_NPC.170_24H:C07,flunarizine_25 uM_24 h,NPC
120,CPD002_MCF7_6H:BRD-K87116849-236-01-0:10,cefalotin_10 uM_6 h,MCF7
121,POL001_MCF7_24H:D05,rotenone_0.125 uM_24 h,MCF7
122,LCP001_MCF10A.PIK3CA.HH_24H:C19,SGC-CBP30_10 uM_24 h,MCF10A
123,HOG003_MCF7_24H:BRD-A47829399-001-01-1:10,artesunate_10 uM_24 h,MCF7
124,POL001_HEPG2_24H:H10,thapsigargin_0.37 uM_24 h,HEPG2
125,POL001_HEPG2_24H:M07,PD-198306_10 uM_24 h,HEPG2
126,PCL001_A549_24H:BRD-K73255294:10,nutlin-3_10 uM_24 h,A549
127,KMS002_THP1_6H:BRD-K12683773-300-02-1:10,methyl-fasudil_10 uM_6 h,THP1
128,CVD001_HEPG2_6H:BRD-A14014306-001-01-1:16.4,BRD-A14014306_15 uM_6 h,HEPG2
129,DOSBIO001_NPC_24H:BRD-K45627302:10.0597,BRD-K45627302_10 uM_24 h,NPC
130,PCL001_HEPG2_24H:BRD-K13094524:10,PFI-1_10 uM_24 h,HEPG2
131,HOG001_A549_6H:BRD-A13122391-001-01-9:0.0412,triptolide_0.04 uM_6 h,A549
132,PCL001_HCC515_24H:BRD-K81418486:10,vorinostat_10 uM_24 h,HCC515
133,CPD001_PC3_24H:BRD-M41106164-001-01-9:10,oxantel_10 uM_24 h,PC3
134,MOA001_U2OS_24H:C18,manumycin-a_3.33 uM_24 h,U2OS
135,DOSBIO001_NPC_24H:BRD-K29251608:10.0387,BRD-K29251608_10 uM_24 h,NPC
136,DOSBIO002_PC3_24H:BRD-K87125912:9.98177,BRD-K87125912_10 uM_24 h,PC3
137,NMH002_NPC_6H:BRD-A79067928-001-04-3:10,etoposide_10 uM_6 h,NPC
138,PCL001_A549_24H:BRD-K40328231:10,BRD-K40328231_10 uM_24 h,A549
139,POL001_JURKAT_24H:G24,BRD-K76674262_0.04 uM_24 h,JURKAT
140,LCP001_MCF10A.WT_6H:H03,NVP-ADW742_1.11 uM_6 h,MCF10A
141,LCP001_MCF10A.WT_6H:A18,TG-02_1.11 uM_6 h,MCF10A
142,NMH002_NPC_24H:BRD-A50287119-001-01-5:10,sirolimus_10 uM_24 h,NPC
143,DOSBIO001_NPC_24H:BRD-K67514995:10.0099,BRD-K67514995_10 uM_24 h,NPC
144,LCP001_MCF10A.WT_12H:D12,volasertib_1.11 uM_12 h,MCF10A
145,CVD001_HEPG2_24H:BRD-K80045183-001-01-0:10.003,BRD-K80045183_10 uM_24 h,HEPG2
146,POL001_MCF7_24H:M13,oligomycin-a_10 uM_24 h,MCF7
147,PCL001_MCF7_24H:BRD-K11413513:3.33,BRD-K11413513_3.33 uM_24 h,MCF7
148,MOA001_U2OS_24H:C04,BRD-K56411643_3.33 uM_24 h,U2OS
149,LCP001_MCF10A.PIK3CA.HH_24H:O16,BRD-K61734568_10 uM_24 h,MCF10A
150,KMS002_NOMO1_24H:H04,BRD-K23582869_3.33 uM_24 h,NOMO1
151,DOSBIO002_MCF7_24H:BRD-K55149044:10,BRD-K55149044_10 uM_24 h,MCF7
152,PCL001_A549_24H:BRD-K21532219:10,UMB-32_10 uM_24 h,A549
153,ERAM001_A549_24H:BRD-K65290449:10,BRD-K65290449_10 uM_24 h,A549
154,DOSBIO001_NPC_24H:BRD-K06589444:9.98921,BRD-K06589444_10 uM_24 h,NPC
155,POL001_PC3_24H:O23,BRD-A41316391_0.125 uM_24 h,PC3
156,NMH001_NPC_6H:BRD-A11009626-001-01-7:10,BRD-A11009626_10 uM_6 h,NPC
157,CPD003_MCF7_24H:N02,docetaxel_10 uM_24 h,MCF7
158,KTOX002_HPTEC_6H:BRD-U24341228:1000,tcv-cys_1000 uM_6 h,HPTEC
159,DOSBIO001_PC3_24H:BRD-K62242359:10.5421,BRD-K62242359_10 uM_24 h,PC3
160,PCL001_HEPG2_24H:BRD-K77620628:10,BRD-K77620628_10 uM_24 h,HEPG2
161,PCL001_MCF7_24H:BRD-A18497530:1.11,5-iodotubercidin_1.11 uM_24 h,MCF7
162,KTOX002_HPTEC_24H:BRD-K70401845:1,erlotinib_1.11 uM_24 h,HPTEC
163,KMS002_THP1_6H:BRD-K46625679-001-01-3:3.33,MW-STK33-97_3.33 uM_6 h,THP1
164,DOSBIO002_A549_24H:BRD-K85806228:10.0786,BRD-K85806228_10 uM_24 h,A549
165,NMH002_NPC_24H:BRD-K02526760-001-02-3:10,QS-11_10 uM_24 h,NPC
166,GMB001_HL60_2H:BRD-A19037878:0.4,BRD-A19037878_0.37 uM_2 h,HL60
167,LPROT004_YAPC_6H:BRD-K87465484:0.5,UNC-0646_0.5 uM_6 h,YAPC
168,ERAM001_A549_24H:BRD-K83582713:20.02,BRD-K83582713_20 uM_24 h,A549
169,CPD002_MCF7_24H:BRD-K72723676-003-12-9:10,benzethonium_10 uM_24 h,MCF7
170,ASG003_A549_48H:A04,LY-294002_10 uM_48 h,A549
171,ASG002_PC3_24H:H10,digoxin_10 uM_24 h,PC3
172,ASG002_A549_24H:H09,camptothecin_0.12 uM_24 h,A549
173,ASG003_MCF7_48H:E22,nelfinavir_10 uM_48 h,MCF7
174,ASG003_U2OS_48H:N09,TW-37_0.08 uM_48 h,U2OS
175,ASG003_U2OS_48H:D17,barasertib-HQPA_1.11 uM_48 h,U2OS
176,ASG003_A549_48H:E22,nelfinavir_10 uM_48 h,A549
177,ASG003_U2OS_48H:F10,quizartinib_10 uM_48 h,U2OS
178,ASG003_U2OS_48H:N13,AG-14361_10 uM_48 h,U2OS
179,ASG003_U2OS_48H:O16,chelidonine_10 uM_48 h,U2OS
180,ASG003_A549_24H:E17,KU-0063794_1.11 uM_24 h,A549
181,ASG003_A549_6H:K19,BRD-K63750851_10 uM_6 h,A549
182,ASG003_MCF7_24H:O20,daunorubicin_1.11 uM_24 h,MCF7
183,ASG003_A549_24H:G04,amlodipine_10 uM_24 h,A549
184,ASG003_U2OS_24H:O24,ceritinib_0.08 uM_24 h,U2OS
185,ASG003_U2OS_24H:M24,YM-155_0.12 uM_24 h,U2OS
186,ASG002_PC3_24H:B07,ABT-751_10 uM_24 h,PC3
187,ASG003_MCF7_48H:K01,rucaparib_10 uM_48 h,MCF7
188,ASG003_MCF7_48H:G04,amlodipine_10 uM_48 h,MCF7
189,ASG003_U2OS_24H:J07,ibrutinib_10 uM_24 h,U2OS
190,CPC015_ASC_24H:BRD-K57179821-001-08-9:10,crotamiton_10 uM_24 h,ASC
191,CPC018_ASC_24H:BRD-K25906698-303-01-9:10,immepip_10 uM_24 h,ASC
192,CPC002_VCAP_24H:BRD-A00758722-001-03-1:10,noretynodrel_10 uM_24 h,VCAP
193,CPC009_VCAP_24H:BRD-K96704648-001-05-4:10,BRD-K96704648_10 uM_24 h,VCAP
194,CPC001_HCC515_24H:BRD-A06276885-003-01-1:10,BRD-A06276885_10 uM_24 h,HCC515
195,CPC017_ASC_24H:BRD-K14618467-003-01-8:10,IKK-16_10 uM_24 h,ASC
196,CPC013_PC3_6H:BRD-K15592317-001-01-0:10,CP-466722_10 uM_6 h,PC3
197,CPC010_PC3_24H:BRD-K73951926-001-03-6:10,BRD-K73951926_10 uM_24 h,PC3
198,CPC014_ASC_24H:BRD-A20697603-001-06-4:10,thiostrepton_10 uM_24 h,ASC
199,CPC020_HA1E_6H:BRD-K60895275-001-06-0:10,BRD-K60895275_10 uM_6 h,HA1E
200,CPC020_PC3_6H:BRD-K62300190-003-05-9:10,BRD-K62300190_10 uM_6 h,PC3
201,CPC008_PC3_6H:BRD-K00910650-001-01-6:10,BRD-K00910650_10 uM_6 h,PC3
202,CPC006_VCAP_24H:BRD-K83213911-001-02-8:80,PF-750_80 uM_24 h,VCAP
203,CPC004_HCC515_24H:BRD-A49160188-003-04-4:10,donepezil_10 uM_24 h,HCC515
204,CPC016_SKB_24H:BRD-K45401373-001-04-3:10,betulinic-acid_10 uM_24 h,SKB
205,CPC002_VCAP_24H:BRD-K91509126-001-04-6:10,piceatannol_10 uM_24 h,VCAP
206,CPC019_HA1E_6H:BRD-K49553303-001-01-8:10,BRD-K49553303_10 uM_6 h,HA1E
207,CPC014_HEPG2_6H:BRD-K50387473-001-01-1:10,XMD-892_10 uM_6 h,HEPG2
208,CPC004_PC3_6H:BRD-K80431395-001-02-4:10,triciribine_10 uM_6 h,PC3
209,CPC001_VCAP_24H:K24,OBAA_10 uM_24 h,VCAP
210,CPC008_HEPG2_6H:BRD-K10846167-001-01-6:10,BRD-K10846167_10 uM_6 h,HEPG2
211,CPC008_A549_6H:BRD-K54687541-001-01-8:10,BRD-K54687541_10 uM_6 h,A549
212,CPC011_A549_24H:BRD-K81169441-236-06-6:10,cerivastatin_10 uM_24 h,A549
213,CPC018_HEPG2_6H:BRD-K00824317-001-03-0:10,BRD-K00824317_10 uM_6 h,HEPG2
214,CPC019_PC3_6H:BRD-K60067222-001-01-1:10,BRD-K60067222_10 uM_6 h,PC3
215,CPC008_PC3_24H:BRD-K37456065-001-01-6:10,VU-0365114-2_10 uM_24 h,PC3
216,CPC013_MCF7_24H:BRD-K37340241-001-01-9:10,BRD-K37340241_10 uM_24 h,MCF7
217,CPC009_HA1E_6H:BRD-K86086851-001-03-5:10,KU-C104145_10 uM_6 h,HA1E
218,CPC017_A549_24H:BRD-K58938839-001-03-8:10,cyclopamine_10 uM_24 h,A549
219,CPC018_MCF7_24H:BRD-A64290322-001-01-6:10,cyclosporin-a_10 uM_24 h,MCF7
220,CPC006_HA1E_24H:L07,BRD-K92317137_10 uM_24 h,HA1E
221,CPC006_MCF7_24H:I22,parthenolide_10 uM_24 h,MCF7
222,CPC006_HEPG2_6H:BRD-A31107743-001-01-3:0.09,brefeldin-a_0.08 uM_6 h,HEPG2
223,CPC013_HCC515_6H:BRD-K72451865-001-01-5:10,BRD-K72451865_10 uM_6 h,HCC515
224,CPC010_MCF7_24H:BRD-K17025677-019-03-1:10,BRD-K17025677_10 uM_24 h,MCF7
225,CPC001_PC3_24H:N19,paclitaxel_10 uM_24 h,PC3
226,CPC019_MCF7_24H:BRD-K02589376-001-04-3:10,SD-6-035-A9_10 uM_24 h,MCF7
227,CPC017_MCF7_6H:BRD-A87719232-001-02-4:10,naproxen_10 uM_6 h,MCF7
228,CPC009_MCF7_6H:BRD-K83670234-001-01-1:10,BRD-K83670234_10 uM_6 h,MCF7
229,CPC006_HEPG2_6H:BRD-K87947369-001-01-6:10,tozasertib_10 uM_6 h,HEPG2
230,CPC004_HCC515_24H:BRD-K42500029-001-01-9:10,CGP-57380_10 uM_24 h,HCC515
231,CPC012_ASC_24H:BRD-K86472598-001-02-7:10,MD-II-051_10 uM_24 h,ASC
232,CPC010_MCF7_24H:BRD-K30804015-001-03-1:10,BRD-K30804015_10 uM_24 h,MCF7
233,CPC012_MCF7_24H:BRD-K61529775-001-01-0:10,BRD-K61529775_10 uM_24 h,MCF7
234,CPC005_VCAP_24H:BRD-A78360835-001-01-1:10,cercosporin_10 uM_24 h,VCAP
235,CPC012_VCAP_24H:BRD-K81313552-001-01-4:10,BRD-K81313552_10 uM_24 h,VCAP
236,CPC013_HEPG2_6H:BRD-K15592317-001-01-0:10,CP-466722_10 uM_6 h,HEPG2
237,CPC003_HCC515_24H:BRD-K76534306-001-11-0:10,enrofloxacin_10 uM_24 h,HCC515
238,CPC017_A549_24H:BRD-K68507560-003-15-4:10,dicycloverine_10 uM_24 h,A549
239,CPC009_A549_6H:BRD-K03829970-019-01-0:10,BRD-K03829970_10 uM_6 h,A549
240,CPC004_HA1E_24H:BRD-K89997465-001-05-3:10,BRD-K89997465_10 uM_24 h,HA1E
241,CPC008_A549_6H:BRD-K32944375-019-01-3:10,BRD-K32944375_10 uM_6 h,A549
242,CPC012_HA1E_6H:BRD-A04172077-001-01-6:10,BRD-A04172077_10 uM_6 h,HA1E
243,CPC006_A549_6H:BRD-K05649647-001-03-7:20,BRD-K05649647_20 uM_6 h,A549
244,CPC005_A549_6H:BRD-K54095730-001-01-5:10,CMPD-1_10 uM_6 h,A549
245,CPC005_A549_24H:BRD-A17535965-001-02-2:10,gelsemine_10 uM_24 h,A549
246,CPC013_HEPG2_6H:BRD-K49810818-001-01-0:10,sorafenib_10 uM_6 h,HEPG2
247,CPC003_HCC515_24H:BRD-K38003476-001-03-4:10,clocortolone-pivalate_10 uM_24 h,HCC515
248,CPC013_ASC_24H:BRD-A41997916-001-01-6:10,BRD-A41997916_10 uM_24 h,ASC
249,CPC017_MCF7_6H:BRD-A62184259-001-02-8:10,cycloheximide_10 uM_6 h,MCF7
250,CPC007_VCAP_6H:J21,BRD-K84203638_10 uM_6 h,VCAP
251,CPC013_MCF7_6H:BRD-U68942961-000-01-2:10,JW-7-24-1_10 uM_6 h,MCF7
252,CPC014_HCC515_6H:BRD-A26002865-001-01-5:10,verrucarin-a_10 uM_6 h,HCC515
253,CPC013_ASC_24H:BRD-K71427192-014-01-3:10,BRD-K71427192_10 uM_24 h,ASC
254,CPC015_MCF7_24H:BRD-A48570745-001-01-1:10,ivermectin_10 uM_24 h,MCF7
255,CPC012_HCC515_6H:BRD-K74797618-001-01-9:10,MD-049_10 uM_6 h,HCC515
256,CPC002_HCC515_24H:BRD-K39188321-001-03-9:10,betamethasone_10 uM_24 h,HCC515
257,CPC014_PC3_6H:BRD-A20697603-001-06-4:10,thiostrepton_10 uM_6 h,PC3
258,CPC014_ASC_24H:BRD-K40255344-001-13-5:10,tyrphostin-A9_10 uM_24 h,ASC
259,CPC006_HEPG2_6H:BRD-K41895714-001-02-2:10,AS-605240_10 uM_6 h,HEPG2
260,CPC004_MCF7_6H:BRD-K36055864-001-09-3:10,cycloheximide_10 uM_6 h,MCF7
261,CPC006_MCF7_24H:C13,YK-4279_10 uM_24 h,MCF7
262,CPC006_HCC515_24H:H17,BI-2536_10 uM_24 h,HCC515
263,CPC002_VCAP_24H:BRD-A76528577-065-01-2:10,vincristine_10 uM_24 h,VCAP
264,CPC002_VCAP_24H:BRD-A20126139-001-03-4:10,medrysone_10 uM_24 h,VCAP
265,CPC008_HEPG2_6H:BRD-K93060291-001-03-9:10,TL-HRAS-24_10 uM_6 h,HEPG2
266,CPC001_HCC515_24H:BRD-K81029756-001-02-8:10,diltiazem_10 uM_24 h,HCC515
267,CPC012_MCF7_6H:BRD-K08307026-001-01-4:10,BRD-K08307026_10 uM_6 h,MCF7
268,CPC007_MCF7_24H:BRD-K11671649-001-05-6:10,BRD-K11671649_10 uM_24 h,MCF7
269,CPC007_HA1E_24H:BRD-K78056905-001-05-9:10,BRD-K78056905_10 uM_24 h,HA1E
270,CPC014_HA1E_6H:BRD-K73293050-001-01-5:10,WZ-3146_10 uM_6 h,HA1E
271,CPC008_HCC515_6H:BRD-K63308290-019-01-5:10,BRD-K63308290_10 uM_6 h,HCC515
272,CPC005_MCF7_6H:I19,helveticoside_10 uM_6 h,MCF7
273,CPC001_PC3_24H:C02,T-98475_10 uM_24 h,PC3
274,CPC001_VCAP_24H:H03,nisoxetine_10 uM_24 h,VCAP
275,CPC005_A549_6H:BRD-A08003242-001-02-7:10,rhodomyrtoxin-b_10 uM_6 h,A549
276,CPC013_HA1E_6H:BRD-K30511626-001-01-7:10,BRD-K30511626_10 uM_6 h,HA1E
277,CPC006_HA1E_6H:BRD-A19633847-050-20-6:10,perhexiline_10 uM_6 h,HA1E
278,CPC017_MCF7_24H:BRD-A23723433-001-01-2:10,paclitaxel_10 uM_24 h,MCF7
279,CPC012_MCF7_6H:BRD-K86472598-001-02-7:10,MD-II-051_10 uM_6 h,MCF7
280,CPC012_VCAP_24H:BRD-A09186529-001-01-5:10,ST-024029_10 uM_24 h,VCAP
281,CPC008_HEPG2_6H:BRD-K83620635-001-02-9:10,BRD-K83620635_10 uM_6 h,HEPG2
282,CPC014_HCC515_6H:BRD-K40175214-001-01-7:10,torin-1_10 uM_6 h,HCC515
283,CPC007_PC3_24H:BRD-A68820570-001-04-9:10,BRD-A68820570_10 uM_24 h,PC3
